,0
2012-01-01 00:00:00,226.665
2012-02-01 00:00:00,227.663
2012-03-01 00:00:00,229.392
2012-04-01 00:00:00,230.085
2012-05-01 00:00:00,229.815
2012-06-01 00:00:00,229.478
2012-07-01 00:00:00,229.104
2012-08-01 00:00:00,230.379
2012-09-01 00:00:00,231.407
2012-10-01 00:00:00,231.317
2012-11-01 00:00:00,230.221
2012-12-01 00:00:00,229.601
2013-01-01 00:00:00,230.28
2013-02-01 00:00:00,232.166
2013-03-01 00:00:00,232.773
2013-04-01 00:00:00,232.531
2013-05-01 00:00:00,232.945
2013-06-01 00:00:00,233.504
2013-07-01 00:00:00,233.596
2013-08-01 00:00:00,233.877
2013-09-01 00:00:00,234.149
2013-10-01 00:00:00,233.546
2013-11-01 00:00:00,233.069
2013-12-01 00:00:00,233.049
2014-01-01 00:00:00,233.916
2014-02-01 00:00:00,234.781
2014-03-01 00:00:00,236.293
2014-04-01 00:00:00,237.072
2014-05-01 00:00:00,237.9
2014-06-01 00:00:00,238.343
2014-07-01 00:00:00,238.25
2014-08-01 00:00:00,237.852
2014-09-01 00:00:00,238.031
2014-10-01 00:00:00,237.433
2014-11-01 00:00:00,236.151
2014-12-01 00:00:00,234.812
2015-01-01 00:00:00,233.707
2015-02-01 00:00:00,234.722
2015-03-01 00:00:00,236.119
2015-04-01 00:00:00,236.599
2015-05-01 00:00:00,237.805
2015-06-01 00:00:00,238.638
2015-07-01 00:00:00,238.654
2015-08-01 00:00:00,238.316
2015-09-01 00:00:00,237.945
2015-10-01 00:00:00,237.838
2015-11-01 00:00:00,237.336
2015-12-01 00:00:00,236.525
2016-01-01 00:00:00,236.916
2016-02-01 00:00:00,237.111
2016-03-01 00:00:00,238.132
2016-04-01 00:00:00,239.261
2016-05-01 00:00:00,240.229
2016-06-01 00:00:00,241.018
2016-07-01 00:00:00,240.628
2016-08-01 00:00:00,240.849
2016-09-01 00:00:00,241.428
2016-10-01 00:00:00,241.729
2016-11-01 00:00:00,241.353
2016-12-01 00:00:00,241.432
2017-01-01 00:00:00,242.839
2017-02-01 00:00:00,243.603
2017-03-01 00:00:00,243.801
2017-04-01 00:00:00,244.524
2017-05-01 00:00:00,244.733
2017-06-01 00:00:00,244.955
2017-07-01 00:00:00,244.786
2017-08-01 00:00:00,245.519
2017-09-01 00:00:00,246.819
2017-10-01 00:00:00,246.663
2017-11-01 00:00:00,246.669
2017-12-01 00:00:00,246.524
2018-01-01 00:00:00,247.867
2018-02-01 00:00:00,248.991
2018-03-01 00:00:00,249.554
2018-04-01 00:00:00,250.546
2018-05-01 00:00:00,251.588
2018-06-01 00:00:00,251.989
2018-07-01 00:00:00,252.006
2018-08-01 00:00:00,252.146
2018-09-01 00:00:00,252.439
2018-10-01 00:00:00,252.885
2018-11-01 00:00:00,252.038
2018-12-01 00:00:00,251.233
2019-01-01 00:00:00,251.712
2019-02-01 00:00:00,252.776
2019-03-01 00:00:00,254.202
2019-04-01 00:00:00,255.548
2019-05-01 00:00:00,256.092
2019-06-01 00:00:00,256.143
2019-07-01 00:00:00,256.571
2019-08-01 00:00:00,256.558
2019-09-01 00:00:00,256.759
2019-10-01 00:00:00,257.346
2019-11-01 00:00:00,257.208
2019-12-01 00:00:00,256.974
2020-01-01 00:00:00,257.971
2020-02-01 00:00:00,258.678
2020-03-01 00:00:00,258.115
2020-04-01 00:00:00,256.389
2020-05-01 00:00:00,256.394
2020-06-01 00:00:00,257.797
2020-07-01 00:00:00,259.101
2020-08-01 00:00:00,259.918
2020-09-01 00:00:00,260.28
2020-10-01 00:00:00,260.388
2020-11-01 00:00:00,260.229
2020-12-01 00:00:00,260.474
2021-01-01 00:00:00,261.582
2021-02-01 00:00:00,263.014
2021-03-01 00:00:00,264.877
2021-04-01 00:00:00,267.054
2021-05-01 00:00:00,269.195
2021-06-01 00:00:00,271.696
2021-07-01 00:00:00,273.003
2021-08-01 00:00:00,273.567
2021-09-01 00:00:00,274.31
2021-10-01 00:00:00,276.589
2021-11-01 00:00:00,277.948
2021-12-01 00:00:00,278.802
2022-01-01 00:00:00,281.148
2022-02-01 00:00:00,283.716
2022-03-01 00:00:00,287.504
2022-04-01 00:00:00,289.109
2022-05-01 00:00:00,292.296
2022-06-01 00:00:00,296.311
2022-07-01 00:00:00,296.276
2022-08-01 00:00:00,296.171
2022-09-01 00:00:00,296.808
2022-10-01 00:00:00,298.012
2022-11-01 00:00:00,297.711
