Date,CPI
2011-01-01,221.187
2011-01-02,221.187
2011-01-03,221.187
2011-01-04,221.187
2011-01-05,221.187
2011-01-06,221.187
2011-01-07,221.187
2011-01-08,221.187
2011-01-09,221.187
2011-01-10,221.187
2011-01-11,221.187
2011-01-12,221.187
2011-01-13,221.187
2011-01-14,221.187
2011-01-15,221.187
2011-01-16,221.187
2011-01-17,221.187
2011-01-18,221.187
2011-01-19,221.187
2011-01-20,221.187
2011-01-21,221.187
2011-01-22,221.187
2011-01-23,221.187
2011-01-24,221.187
2011-01-25,221.187
2011-01-26,221.187
2011-01-27,221.187
2011-01-28,221.187
2011-01-29,221.187
2011-01-30,221.187
2011-01-31,221.187
2011-02-01,221.898
2011-02-02,221.898
2011-02-03,221.898
2011-02-04,221.898
2011-02-05,221.898
2011-02-06,221.898
2011-02-07,221.898
2011-02-08,221.898
2011-02-09,221.898
2011-02-10,221.898
2011-02-11,221.898
2011-02-12,221.898
2011-02-13,221.898
2011-02-14,221.898
2011-02-15,221.898
2011-02-16,221.898
2011-02-17,221.898
2011-02-18,221.898
2011-02-19,221.898
2011-02-20,221.898
2011-02-21,221.898
2011-02-22,221.898
2011-02-23,221.898
2011-02-24,221.898
2011-02-25,221.898
2011-02-26,221.898
2011-02-27,221.898
2011-02-28,221.898
2011-03-01,223.046
2011-03-02,223.046
2011-03-03,223.046
2011-03-04,223.046
2011-03-05,223.046
2011-03-06,223.046
2011-03-07,223.046
2011-03-08,223.046
2011-03-09,223.046
2011-03-10,223.046
2011-03-11,223.046
2011-03-12,223.046
2011-03-13,223.046
2011-03-14,223.046
2011-03-15,223.046
2011-03-16,223.046
2011-03-17,223.046
2011-03-18,223.046
2011-03-19,223.046
2011-03-20,223.046
2011-03-21,223.046
2011-03-22,223.046
2011-03-23,223.046
2011-03-24,223.046
2011-03-25,223.046
2011-03-26,223.046
2011-03-27,223.046
2011-03-28,223.046
2011-03-29,223.046
2011-03-30,223.046
2011-03-31,223.046
2011-04-01,224.093
2011-04-02,224.093
2011-04-03,224.093
2011-04-04,224.093
2011-04-05,224.093
2011-04-06,224.093
2011-04-07,224.093
2011-04-08,224.093
2011-04-09,224.093
2011-04-10,224.093
2011-04-11,224.093
2011-04-12,224.093
2011-04-13,224.093
2011-04-14,224.093
2011-04-15,224.093
2011-04-16,224.093
2011-04-17,224.093
2011-04-18,224.093
2011-04-19,224.093
2011-04-20,224.093
2011-04-21,224.093
2011-04-22,224.093
2011-04-23,224.093
2011-04-24,224.093
2011-04-25,224.093
2011-04-26,224.093
2011-04-27,224.093
2011-04-28,224.093
2011-04-29,224.093
2011-04-30,224.093
2011-05-01,224.806
2011-05-02,224.806
2011-05-03,224.806
2011-05-04,224.806
2011-05-05,224.806
2011-05-06,224.806
2011-05-07,224.806
2011-05-08,224.806
2011-05-09,224.806
2011-05-10,224.806
2011-05-11,224.806
2011-05-12,224.806
2011-05-13,224.806
2011-05-14,224.806
2011-05-15,224.806
2011-05-16,224.806
2011-05-17,224.806
2011-05-18,224.806
2011-05-19,224.806
2011-05-20,224.806
2011-05-21,224.806
2011-05-22,224.806
2011-05-23,224.806
2011-05-24,224.806
2011-05-25,224.806
2011-05-26,224.806
2011-05-27,224.806
2011-05-28,224.806
2011-05-29,224.806
2011-05-30,224.806
2011-05-31,224.806
2011-06-01,224.806
2011-06-02,224.806
2011-06-03,224.806
2011-06-04,224.806
2011-06-05,224.806
2011-06-06,224.806
2011-06-07,224.806
2011-06-08,224.806
2011-06-09,224.806
2011-06-10,224.806
2011-06-11,224.806
2011-06-12,224.806
2011-06-13,224.806
2011-06-14,224.806
2011-06-15,224.806
2011-06-16,224.806
2011-06-17,224.806
2011-06-18,224.806
2011-06-19,224.806
2011-06-20,224.806
2011-06-21,224.806
2011-06-22,224.806
2011-06-23,224.806
2011-06-24,224.806
2011-06-25,224.806
2011-06-26,224.806
2011-06-27,224.806
2011-06-28,224.806
2011-06-29,224.806
2011-06-30,224.806
2011-07-01,225.395
2011-07-02,225.395
2011-07-03,225.395
2011-07-04,225.395
2011-07-05,225.395
2011-07-06,225.395
2011-07-07,225.395
2011-07-08,225.395
2011-07-09,225.395
2011-07-10,225.395
2011-07-11,225.395
2011-07-12,225.395
2011-07-13,225.395
2011-07-14,225.395
2011-07-15,225.395
2011-07-16,225.395
2011-07-17,225.395
2011-07-18,225.395
2011-07-19,225.395
2011-07-20,225.395
2011-07-21,225.395
2011-07-22,225.395
2011-07-23,225.395
2011-07-24,225.395
2011-07-25,225.395
2011-07-26,225.395
2011-07-27,225.395
2011-07-28,225.395
2011-07-29,225.395
2011-07-30,225.395
2011-07-31,225.395
2011-08-01,226.106
2011-08-02,226.106
2011-08-03,226.106
2011-08-04,226.106
2011-08-05,226.106
2011-08-06,226.106
2011-08-07,226.106
2011-08-08,226.106
2011-08-09,226.106
2011-08-10,226.106
2011-08-11,226.106
2011-08-12,226.106
2011-08-13,226.106
2011-08-14,226.106
2011-08-15,226.106
2011-08-16,226.106
2011-08-17,226.106
2011-08-18,226.106
2011-08-19,226.106
2011-08-20,226.106
2011-08-21,226.106
2011-08-22,226.106
2011-08-23,226.106
2011-08-24,226.106
2011-08-25,226.106
2011-08-26,226.106
2011-08-27,226.106
2011-08-28,226.106
2011-08-29,226.106
2011-08-30,226.106
2011-08-31,226.106
2011-09-01,226.597
2011-09-02,226.597
2011-09-03,226.597
2011-09-04,226.597
2011-09-05,226.597
2011-09-06,226.597
2011-09-07,226.597
2011-09-08,226.597
2011-09-09,226.597
2011-09-10,226.597
2011-09-11,226.597
2011-09-12,226.597
2011-09-13,226.597
2011-09-14,226.597
2011-09-15,226.597
2011-09-16,226.597
2011-09-17,226.597
2011-09-18,226.597
2011-09-19,226.597
2011-09-20,226.597
2011-09-21,226.597
2011-09-22,226.597
2011-09-23,226.597
2011-09-24,226.597
2011-09-25,226.597
2011-09-26,226.597
2011-09-27,226.597
2011-09-28,226.597
2011-09-29,226.597
2011-09-30,226.597
2011-10-01,226.75
2011-10-02,226.75
2011-10-03,226.75
2011-10-04,226.75
2011-10-05,226.75
2011-10-06,226.75
2011-10-07,226.75
2011-10-08,226.75
2011-10-09,226.75
2011-10-10,226.75
2011-10-11,226.75
2011-10-12,226.75
2011-10-13,226.75
2011-10-14,226.75
2011-10-15,226.75
2011-10-16,226.75
2011-10-17,226.75
2011-10-18,226.75
2011-10-19,226.75
2011-10-20,226.75
2011-10-21,226.75
2011-10-22,226.75
2011-10-23,226.75
2011-10-24,226.75
2011-10-25,226.75
2011-10-26,226.75
2011-10-27,226.75
2011-10-28,226.75
2011-10-29,226.75
2011-10-30,226.75
2011-10-31,226.75
2011-11-01,227.169
2011-11-02,227.169
2011-11-03,227.169
2011-11-04,227.169
2011-11-05,227.169
2011-11-06,227.169
2011-11-07,227.169
2011-11-08,227.169
2011-11-09,227.169
