horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,0.1769226010847441,0.4206216840401171,0.30974722371614266,0.17550658499596514,0.10134189392338455,0.19492173565533444,0.4573819721360705
4 days,0.18386334579420796,0.428792893824289,0.3173750237056365,0.18167766975274868,0.10975800017949748,0.19945320960569352,0.44634600372305294
5 days,0.19274601849575793,0.4390284939451629,0.32692536161998936,0.18868732491464932,0.11557824152381214,0.20758117455852632,0.4216357413078724
6 days,0.19619700481226604,0.4429413107989207,0.33202049407401435,0.18904382481195428,0.11557824152381214,0.20951075608552094,0.4013423616060822
7 days,0.19802067796379477,0.4449951437530468,0.3367210394151662,0.188139720546126,0.11562238995033898,0.2115996938413183,0.3894944124452321
8 days,0.20136405819567416,0.4487360674112057,0.33968484611028676,0.18838329366097437,0.11562238995033898,0.2138490565088767,0.3855961888748774
9 days,0.21103495298874214,0.4593854078970534,0.3468737089122221,0.19402411060026492,0.11983678865252001,0.22099536966749753,0.3888399240065025
10 days,0.21683991247710316,0.4656607267926974,0.3502426533506241,0.19625219021877852,0.12345272299969445,0.22402551217321762,0.38867344340638893
11 days,0.22227762302035778,0.47146327854919706,0.3554812579775585,0.20229250516684366,0.12613238027936274,0.22856503931707564,0.3817149313774193
12 days,0.2255177225599719,0.4748870629528371,0.36029627590657265,0.20703445042396565,0.13417740838426281,0.2317014671775928,0.37271181153075905
13 days,0.23385629385367124,0.4835869041378925,0.3711681550486936,0.2129566138152645,0.14039780997545856,0.23759569585709006,0.35135028114358124
14 days,0.24288231401485608,0.4928309182821793,0.3811979767037933,0.21574399701001817,0.14732707308218704,0.24249544732064968,0.3399497858514252
15 days,0.2544790772357956,0.5044591928350554,0.3909461337802361,0.21719385805214309,0.14816322128762036,0.24686728232098457,0.3296903460837887
16 days,0.25743112303584764,0.5073767072263444,0.39008179862641457,0.21740626741377675,0.1403651165559312,0.24823320636937618,0.34668428111051064
17 days,0.2561300238220965,0.506092900386971,0.3869558079544969,0.21430067867501537,0.134734813630096,0.24410703296628256,0.3648926902668884
18 days,0.2513617384571265,0.5013598891586029,0.3833691081829394,0.21454664499178336,0.13422927195919399,0.24233996719218315,0.3738886427411018
19 days,0.25509618532156597,0.5050704755987683,0.3881679900365873,0.219522512239879,0.14037749192322294,0.24441879643621758,0.35559158509978184
20 days,0.26127785812464366,0.5111534584883914,0.3958856911838625,0.2256538759029832,0.15233699267564912,0.25118079369566604,0.33586540963590145
21 days,0.2654572822702531,0.5152254674123292,0.40166774038033703,0.22616721592952044,0.15750163187569177,0.2538708915860772,0.3177714421477786
22 days,0.2681622596003779,0.5178438563895278,0.4056402478141466,0.22446609856869018,0.1619716732090687,0.25602464657972207,0.31683158568404474
23 days,0.27086051038137154,0.5204426100747052,0.4064738740378869,0.22341152772504197,0.1613432840034909,0.2575385414643507,0.31412211051736455
24 days,0.27763275834417706,0.5269086812192195,0.40912971247051555,0.2267904110200615,0.16803893057087974,0.2619978195248389,0.32923986916583425
25 days,0.2792673448329714,0.5284575146906053,0.4076845443205191,0.22643902961865148,0.16014452751290809,0.2617095291373296,0.3430087940928766
26 days,0.28042009940458545,0.5295470700557086,0.4088441141357957,0.23076069652769438,0.15487339426405597,0.26324883214188255,0.3484215345353243
27 days,0.28067387523162196,0.5297866317977663,0.4115833912258264,0.2345639061159616,0.15901700527808185,0.26455735112549994,0.3381537501635319
28 days,0.29061334998063326,0.5390856610786762,0.4246477330111135,0.24176083045417188,0.17786639560724318,0.2718658352156098,0.3011404133998575
29 days,0.30191025475266453,0.5494636063950592,0.4352058963025862,0.2444730778200849,0.17821677544171588,0.27763957389261584,0.28415300546448086
30 days,0.3143166838097088,0.560639531080095,0.44292652490688034,0.2444947526524513,0.17786639560724318,0.28118210127843063,0.2847437601535962
