ds,Most Likely Case,Worst Case,Best Case
2023-01-06,18505.69925201292,13275.693342384868,23575.377876539707
2023-01-07,18430.06461734449,13277.613393147985,23495.278913853195
2023-01-08,18310.672804784987,12735.161045165023,23407.23973242722
2023-01-09,18200.229723359636,13106.487129586032,23475.279060736386
2023-01-10,18037.414973119412,13043.320818859405,23413.46760939013
2023-01-11,17921.917413772186,12585.354607761237,23111.883802095927
2023-01-12,17707.741556829013,12533.027507367591,22975.69133424354
2023-01-13,17539.656175056763,12186.875608062852,22587.39704521076
2023-01-14,17368.706681935604,12130.356772163646,22606.497180449296
2023-01-15,17163.16048814923,11719.374920487271,22867.372606434972
2023-01-16,16977.816286731628,11606.423594819638,21767.399883411475
2023-01-17,16753.240725351636,11355.056891816454,22261.952231518553
2023-01-18,16590.754715837236,11374.108339029624,22038.655744785094
2023-01-19,16345.696061273567,11271.900865513431,21616.050918698667
2023-01-20,16163.830996030854,10943.793010467318,21827.746074082293
2023-01-21,15996.837231923739,10924.413318377447,21227.228220626414
2023-01-22,15813.22856761486,10378.159876196294,21253.03096771596
2023-01-23,15667.652648072892,10494.555224562364,21082.44141414641
2023-01-24,15500.125733976574,10167.999641746299,20417.404561596588
2023-01-25,15411.026886082049,10490.48727635024,20818.148394554995
2023-01-26,15254.378147119742,10054.485827024157,20586.069560361586
2023-01-27,15174.282966700546,9989.747056181273,20599.049990719384
2023-01-28,15120.444867776767,9914.28934578393,20586.91240077648
2023-01-29,15059.13558631273,10142.838350410308,20201.832035304196
2023-01-30,15042.543234916438,9366.618565590636,19964.52649794736
2023-01-31,15008.063129696759,9706.397903644827,19877.762186513784
2023-02-01,15053.35231118081,10005.1880595259,20254.217940040107
2023-02-02,15029.672849499526,9311.508292859093,20468.870845395013
2023-02-03,15078.394607412507,9646.84820222375,20476.59578544613
2023-02-04,15146.577849219457,9862.229860585554,20306.73686882498
