horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,72287600.9866043,8502.211535042181,4797.139692677472,0.2437642492426736,0.18286097593749512,0.2310329740459532,0.35603544937036397
4 days,73790826.00626534,8590.158671774658,4861.90292331417,0.24834403785283315,0.18584791441373097,0.2357458620652356,0.34466103156805245
5 days,75258069.21158184,8675.140875604375,4923.414259390497,0.25366914868933765,0.18696050784501234,0.24092180065819183,0.32953467310677936
6 days,76362364.92416722,8738.556226526624,4975.983864462871,0.26020102145434143,0.19045123593432678,0.24669596614405265,0.3181494738657926
7 days,79014994.41152623,8889.037878844158,5068.007384507565,0.268123546997904,0.19557135890280644,0.2533283128026723,0.3067966189408315
8 days,82459564.59349139,9080.724893613471,5188.261615250995,0.27702445539197884,0.20578964493988722,0.26072313072497827,0.2992388304295325
9 days,85728013.60337189,9258.942358788712,5292.481874605524,0.28331127222545505,0.21783830488831976,0.2663563257747795,0.2992388304295325
10 days,87891922.63458382,9375.069206922359,5369.187177101745,0.29037519962198505,0.22515461596149455,0.27321424964893487,0.2973520786613766
11 days,89372262.56212358,9453.690420260416,5426.350697410411,0.29639231288726203,0.22804971608920496,0.27904496548633384,0.291648697602208
12 days,91331058.43164662,9556.728437684447,5482.747907039415,0.3006023655162279,0.22804971608920496,0.28338825201260587,0.27647921338623427
13 days,93834410.7595975,9686.816337662105,5573.9714963358265,0.30371494761752904,0.23969821332901103,0.28708559242015685,0.2670238916681042
14 days,95726447.04713844,9783.989321699939,5638.413612922816,0.3055832867318428,0.23870926841106083,0.28988554532809396,0.2594768845954804
15 days,97668877.79570039,9882.756588912851,5709.513988614949,0.3090323441697629,0.23969821332901103,0.2942521168965317,0.2613528549249612
16 days,99406452.8659344,9970.278474843839,5756.278490949567,0.31250998997504004,0.2444726686128427,0.29779502825340537,0.2594768845954804
17 days,101513258.72557372,10075.378837819138,5808.358704166911,0.3157508468958762,0.2559309531287333,0.30140986111940227,0.25946610315680524
18 days,103294749.23271924,10163.402443705516,5864.896527362764,0.31942154336517825,0.25806036110990166,0.3049698237252454,0.2575685699499741
19 days,103819708.49546248,10189.195674608594,5887.757595104385,0.3215707542557401,0.26413766042225234,0.30752013140251,0.25378428497498706
20 days,104295015.31653893,10212.493099950616,5912.539471940177,0.32450665495884917,0.2723125885729637,0.3103273196792979,0.25378428497498706
21 days,104230040.25277863,10209.31144851496,5929.823144981117,0.3291294383294031,0.2774156433100717,0.31415453833195406,0.24620493358633777
22 days,106070720.63653684,10299.06406604682,5987.314707429079,0.33514060349913705,0.28038284402546554,0.3186252765394771,0.2348089529066759
23 days,108491367.72969401,10415.918957523336,6066.628110825305,0.34159035417325906,0.2893447933319281,0.32349099535130993,0.21208168017940313
24 days,110884215.97887616,10530.157452710579,6131.781711798399,0.34524583670445463,0.29093840928713227,0.3264674440007181,0.20831895808176643
25 days,112011065.29915918,10583.528017592205,6166.144419423396,0.34885091806179386,0.29363775906025447,0.33000601935175516,0.21216793168880455
26 days,112684667.7108545,10615.303467676018,6188.764172371892,0.35193599743841275,0.2864522376511109,0.33304094705879966,0.22728350871140246
27 days,113834056.69913097,10669.304414962156,6212.907225687547,0.35371971301217386,0.27467894923291464,0.3351044666425649,0.23486286010005175
28 days,115596642.16226523,10751.58789027301,6277.561172645849,0.35513741174070995,0.2726555300467459,0.3371815539267166,0.23295454545454544
29 days,117094967.80960572,10821.042824497355,6328.383486173425,0.35589540386738633,0.2800008514631104,0.3390200036489014,0.2333965844402277
30 days,118501427.99156523,10885.8361181659,6375.448709395488,0.3573484602755033,0.2837647626710067,0.3416788817188057,0.22770398481973433
