horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,223566.54152437949,472.82823680949883,291.5156461705561,0.3265786575152032,0.20511568778994357,0.326491167848376,0.4832107023411371
4 days,239995.51728215395,489.89337338052854,306.84486958874805,0.34926534268773113,0.22528867717606962,0.3424983971718233,0.44993311036789296
5 days,246481.3951161443,496.4689266370498,314.36826162175146,0.3656118164944979,0.2462798345042573,0.35461570208483617,0.43993311036789295
6 days,250106.95225080912,500.10694081447133,319.33158699089546,0.379536625507605,0.2547496547050964,0.3639123392943015,0.43003344481605354
7 days,255082.57961283016,505.0570063001108,322.0191781007881,0.39074459157998515,0.2547496547050964,0.36957696118528033,0.43665551839464883
8 days,276609.44362308236,525.9367296767572,333.59346450417104,0.40671796766137275,0.25816409497823584,0.3771568775687184,0.43
9 days,295833.2929246585,543.9055919225859,344.0155309391837,0.42577747282381023,0.263509463445256,0.38589316586744365,0.42327759197324416
10 days,308279.59171435004,555.2293145308072,352.5945403893099,0.44288510221133975,0.2634157209054996,0.3925379161407304,0.41331103678929765
11 days,320635.2511243246,566.2466345368638,357.35331079303126,0.45873883585125896,0.263509463445256,0.39740494614562105,0.41000000000000003
12 days,335522.17907429393,579.2427635061952,365.39824039289215,0.4748751988139675,0.26095107720896393,0.40496611598877674,0.3966220735785953
13 days,354221.68571587093,595.1652591641005,376.4767128984166,0.4938818541197494,0.2850476752819309,0.41639605734647067,0.3865886287625418
14 days,366759.6224469059,605.6068216647711,386.63443011160655,0.5161055788517748,0.3059633441676088,0.43109262652699076,0.3666555183946488
15 days,371475.89631489787,609.4882249189872,391.91664401310436,0.5349122801845088,0.31266005046621304,0.44394699911722546,0.359933110367893
16 days,380246.655787065,616.6414321038321,398.85517490964116,0.5551036354237964,0.3125419793499452,0.4574958431691521,0.3533444816053512
17 days,389777.5850892711,624.3216999987035,408.1659307523746,0.5743072729543793,0.3110011735807379,0.467998418419909,0.34665551839464886
18 days,409561.5334548179,639.9699473059793,422.3367934195565,0.5946012583029741,0.3022542091571775,0.47778772582539447,0.339933110367893
19 days,420906.56407406274,648.7731221883831,430.73859815932383,0.6112808691337908,0.31337309527973034,0.48401906079457796,0.33
20 days,420784.87088078156,648.6793282360566,433.1172080632743,0.6198666549563479,0.3191659780893414,0.48812730404467364,0.32665551839464885
21 days,414573.9960222738,643.8742082288076,430.668103489068,0.6244068634622197,0.32452080125484273,0.48882346471604926,0.33
22 days,413228.46216870093,642.8284858099405,429.9913867694628,0.628007032707574,0.34989629647220877,0.4887662118453787,0.3333779264214047
23 days,429097.8582538051,655.055614626579,434.9674593498473,0.6335701103717579,0.3560009827467681,0.4907428030732841,0.33999999999999997
24 days,445784.29332372703,667.6707971176567,440.5286543560612,0.6457665787225563,0.3570165203906359,0.49560247549165226,0.33331103678929763
25 days,456403.50869708444,675.5764269844564,444.5480740608654,0.6546017174146284,0.36406718680008826,0.5000036657788218,0.32996655518394646
26 days,468681.31552388077,684.6030349946462,449.5495768518468,0.6680844448516569,0.33828804332882345,0.5067389940313152,0.31665551839464884
27 days,481734.8760085901,694.0712326617421,456.2781928270072,0.675633830086168,0.3706527522577106,0.5140156120717132,0.30324414715719067
28 days,497212.0197497998,705.1326256455588,464.7737510312928,0.6871215761848682,0.37656564258976577,0.5228198740335784,0.2899665551839465
29 days,505844.766850194,711.227647698115,470.11245652301756,0.7019314205437402,0.37656564258976577,0.5289601163256649,0.2909698996655518
30 days,505715.44873931847,711.136729988909,472.0133133386575,0.7158119853826292,0.3763338282833891,0.5337227090547135,0.2909698996655518
