ds,Most Likely Case,Worst Case,Best Case
2023-01-06,167.70013925295086,158.5350080003485,176.26235341747895
2023-01-07,169.10056377598806,160.68559743476118,178.34371777492126
2023-01-08,169.26312179484523,161.22719682023467,178.2348199609271
2023-01-09,168.4237826984529,159.95091338438823,176.83956341863578
2023-01-10,168.45275357232143,159.9260655971121,176.60641861015728
2023-01-11,168.57318641723543,159.824526681896,176.5136754093058
2023-01-12,168.67884439942952,161.1417407423357,177.21393502893872
2023-01-13,168.67062288107903,160.18134409134737,177.1719616262092
2023-01-14,169.98996281413164,161.84708930194617,179.1080788285346
2023-01-15,170.07203128263345,160.9795456788016,178.46041438674519
2023-01-16,169.15493472342226,160.28024319400873,177.59459033894353
2023-01-17,169.11089245146513,159.73405654325194,176.92482690990684
2023-01-18,169.16488630077174,160.88021524517956,177.53733503700195
2023-01-19,169.21227455208907,160.91549934651488,177.39417517287444
2023-01-20,169.15526738189354,160.99994839583192,178.00053462159812
2023-01-21,170.43630271273324,161.43955783736263,178.81910137171053
2023-01-22,170.49119832201362,162.10799337552737,178.65997143281416
2023-01-23,169.558346555213,161.1254473513389,178.49779885515812
2023-01-24,169.50987980688805,160.68858289763878,177.9947841262704
2023-01-25,169.57032282299465,160.55170755666305,178.45351759173911
2023-01-26,169.6342199367153,160.43436734145524,178.95379396293086
2023-01-27,169.6026341130578,160.93004088431726,178.7804856030085
2023-01-28,170.91655603273938,162.24890695753257,178.8505161531892
2023-01-29,171.0100981506351,162.5821376720927,179.67113224183157
2023-01-30,170.1197389065575,161.2117735614849,178.23404367593594
2023-01-31,170.1155438698274,161.4482568921232,178.94217865257897
2023-02-01,170.2198783142734,161.70104446782344,178.106892339179
2023-02-02,170.32509764795563,161.9471379440327,179.15038908927565
2023-02-03,170.3301108010955,162.05529680254566,178.9560962572782
