ds,Most Likely Case,Worst Case,Best Case
2023-01-06,163.93227396303286,158.09360284635164,170.2468469197221
2023-01-07,165.10105600329385,159.32189914490456,171.28979862000435
2023-01-08,165.21607440568667,159.36883710540582,170.9166144759652
2023-01-09,164.22701709506734,158.06871076571733,170.4020545152299
2023-01-10,164.2517221427443,158.18169716489152,170.09354323124745
2023-01-11,164.42245262824085,158.61653648500706,170.2952426147388
2023-01-12,164.5550226759554,158.77449541621098,170.62142295592398
2023-01-13,164.66949909023492,158.41096276539233,170.49288952592386
2023-01-14,165.80332230661963,160.21513213873914,171.70139110143765
2023-01-15,165.88087739917427,159.7205682932291,171.6227596486063
2023-01-16,164.85232911843332,159.19839633169434,171.31533333621655
2023-01-17,164.83610128859053,159.066453882002,170.85933768071692
2023-01-18,164.96514339128916,159.22882965304913,171.38348987612451
2023-01-19,165.0560447296587,159.12044496215552,170.48644515695963
2023-01-20,165.12972079567527,159.23941429859033,171.15780134581104
2023-01-21,166.224515868183,159.68051559167512,171.77787920032432
2023-01-22,166.26575299461788,160.022446961527,172.01117985609181
2023-01-23,165.2045458374723,159.30180290072022,171.31738016826014
2023-01-24,165.16025330112635,159.05484410953486,171.23917709343507
2023-01-25,165.26672041835266,159.57352373723552,171.12683126594283
2023-01-26,165.3413665892855,159.10708447649785,171.24245662604153
2023-01-27,165.40584652287367,159.07173399643466,171.2519361124614
2023-01-28,166.49912864240244,160.3359061447404,172.55113310802184
2023-01-29,166.54702282852668,160.38447614358265,172.504354429697
2023-01-30,165.50097266647583,159.71818907031465,171.5556788948088
2023-01-31,165.48049374347903,159.2596790252021,171.78165686944172
2023-02-01,165.6194020318252,159.53988712709156,172.08307677137003
2023-02-02,165.7348939150295,159.72532486281102,172.0085267640732
2023-02-03,165.8482035652481,159.73014640512852,171.72498601005313
