ds,Most Likely Case,Worst Case,Best Case
2023-01-06,119.18956867366443,108.13225753883046,129.84336975243752
2023-01-07,119.64515267191906,108.39407351021877,130.10476195615948
2023-01-08,119.67420707346687,108.75229905203737,130.8263456051161
2023-01-09,119.41768503487846,108.2623391141766,130.01357172530072
2023-01-10,119.39163142131235,107.53310328800346,130.488663598641
2023-01-11,119.36408007361855,108.49285376728403,130.13641667071357
2023-01-12,119.35317057238082,108.57565371076062,130.50868164639184
2023-01-13,119.11819490991059,108.76199045406199,130.77796769772493
2023-01-14,119.44549355393866,108.26771435258523,130.98375371246098
2023-01-15,119.35662775152356,108.02766535681977,130.37534760612658
2023-01-16,118.9956479695883,107.841339402105,129.98881520356213
2023-01-17,118.88126246559968,107.71880315082937,130.5359451772394
2023-01-18,118.78366504738426,107.69352229779636,129.90845668329658
2023-01-19,118.72259644974115,107.40654127258361,129.11121796669187
2023-01-20,118.45835119222865,108.24845737994082,129.45490639543655
2023-01-21,118.77765042573074,107.71488337285868,129.7148739645102
2023-01-22,118.70180818377412,108.04716425342157,129.88256583343968
2023-01-23,118.37401103156357,107.47120641646987,129.79945951755175
2023-01-24,118.31151473053745,106.92514042225932,129.51838409162332
2023-01-25,118.28251614104354,107.0707002554623,129.24404386383915
2023-01-26,118.30427351806262,107.48435914429156,128.97321332519934
2023-01-27,118.13418539150636,107.06522724129185,129.82643670149622
2023-01-28,118.55574651302318,107.00910081133703,129.78463180765814
2023-01-29,118.58680596359683,107.63508665729022,129.49891637670402
2023-01-30,118.366944862102,107.42444644783288,129.56846356476913
2023-01-31,118.4097745797636,107.00236573693654,130.0734215764041
2023-02-01,118.47991088545317,107.09922977262687,128.8373555556827
2023-02-02,118.59119437173342,107.44402382610501,130.4577994638889
2023-02-03,118.49786461802078,108.05127187032485,130.1429817606384
