ds,Most Likely Case,Worst Case,Best Case
2023-01-06,334.2247447961711,318.93649515938216,349.05799226077846
2023-01-07,335.04824642716795,320.0758897247022,349.51980450786624
2023-01-08,335.4013267631707,320.81826559010796,350.6630122397296
2023-01-09,335.1732735363536,320.1985921459444,349.9194622242119
2023-01-10,335.4840916027169,321.83746396665794,351.23289799026
2023-01-11,335.6893171820924,321.4253456183744,350.4855396477597
2023-01-12,335.9561845518487,319.8949270012867,351.95101288674624
2023-01-13,336.37578459713257,321.55717294788377,352.35475627919215
2023-01-14,337.0410489557695,323.04981069288374,352.2098473887311
2023-01-15,337.2333488242807,321.48107059946364,351.3428285521225
2023-01-16,336.84507043099626,321.52536597343516,352.01425351877225
2023-01-17,336.999185466775,320.832065313827,352.1402877513052
2023-01-18,337.0540005489911,321.96916105381484,352.1065357966049
2023-01-19,337.1792658895679,321.99453220066323,352.36341220944945
2023-01-20,337.46828393550163,321.79827170957486,351.6951461821791
2023-01-21,338.0158528386319,322.41051003125756,353.2961943875673
2023-01-22,338.10483466503644,323.3352716216678,353.1115118042197
2023-01-23,337.62871089953495,321.8580442984622,352.458217919208
2023-01-24,337.7111437798786,321.6534892517976,351.41380753434635
2023-01-25,337.71072747283097,321.4268438296417,351.8205378034295
2023-01-26,337.7971088987205,323.2089736814862,352.3840100962794
2023-01-27,338.0631183233882,323.20228147710094,353.4795985521884
2023-01-28,338.60274366296426,323.90403486027486,354.29549431034394
2023-01-29,338.6977372695627,324.27799379725303,353.4529143437785
2023-01-30,338.24021641737073,323.16943403113663,352.7003020842123
2023-01-31,338.35227453638015,322.50557083709447,353.19245129840925
2023-02-01,338.39078561362976,322.7521133893048,353.086393130443
2023-02-02,338.5235799200948,323.5760549301152,354.4681156810813
2023-02-03,338.8416295273598,323.8022787213718,353.73358029668833
