ds,Most Likely Case,Worst Case,Best Case
2023-01-06,175.46314438793988,167.23641204464047,184.11365303433874
2023-01-07,173.1550652567509,165.21662268532646,181.44061177737655
2023-01-08,173.31456731530653,165.3821460838217,181.8650744694876
2023-01-09,175.85514789412997,168.43517806609475,184.3223523625828
2023-01-10,176.22457531133963,167.5947739848146,184.2310633377396
2023-01-11,176.25273798481015,167.92896878306766,184.63807031651243
2023-01-12,176.3913393662487,168.64044674194344,184.62306197405434
2023-01-13,176.50614780786873,168.03911412847347,185.2383502446865
2023-01-14,174.15961248490225,165.59227169899643,182.6651477803006
2023-01-15,174.27715077208987,165.78385605802166,182.74802496985353
2023-01-16,176.77250793733296,168.52354247912223,184.77622255576037
2023-01-17,177.09379844002737,168.97934114226902,185.11008942816292
2023-01-18,177.07136135869172,168.67667782860693,185.1501398788429
2023-01-19,177.15745858702175,168.2978961938589,185.48552836738767
2023-01-20,177.21852455284989,168.87676265470972,185.91005779178346
2023-01-21,174.8177783287352,166.44371513293248,183.48665832597615
2023-01-22,174.88150339049727,166.202565739497,182.60590592121463
2023-01-23,177.32439586654155,168.85292058611816,185.6288118207068
2023-01-24,177.59559067120506,168.95458789859848,185.8998195330695
2023-01-25,177.52649827927868,169.0260601692502,186.11755402796015
2023-01-26,177.57048113704474,168.4815613558556,185.77841891518415
2023-01-27,177.59507893704472,169.13914097523582,185.77835589017286
2023-01-28,175.16459420338347,166.47886799776336,183.54642474023598
2023-01-29,175.20634411302646,167.68653247542227,183.66885759856592
2023-01-30,177.63598013811048,169.74844398027605,186.47792658314825
2023-01-31,177.90348569755932,170.09013094327176,185.20746379424338
2023-02-01,177.84098540061748,169.68040880200013,186.4039367591593
2023-02-02,177.90239570922463,169.5334351886003,186.46165979447355
2023-02-03,177.95562705992063,170.09268835428705,186.1106978765013
