ds,Most Likely Case,Worst Case,Best Case
2023-01-06,129.7711450445033,117.80674395295057,142.11350831480905
2023-01-07,131.3482285760477,118.64990795601169,144.93974697890758
2023-01-08,131.5417992571605,119.53112066603009,143.67322739812758
2023-01-09,130.390097281748,118.27438428340001,144.5576022692953
2023-01-10,130.45754199383396,118.25309552379166,143.06587934971486
2023-01-11,130.6780921034371,117.66338860295403,143.15703868375002
2023-01-12,130.8967601989232,118.62909275080523,143.44120432133954
2023-01-13,130.98968775434042,118.66152770883585,142.75171132406908
2023-01-14,132.4987811045058,120.76518300643266,145.3723823841028
2023-01-15,132.62139744880406,120.74593693573601,145.3450001282597
2023-01-16,131.39744260562645,119.02454933495406,143.34492881780156
2023-01-17,131.3929562309209,118.64412386218821,144.39736788845076
2023-01-18,131.54343314256192,119.04733872520221,144.084319915201
2023-01-19,131.695301667654,118.96328730578043,145.30639381718433
2023-01-20,131.7259661016785,119.3203028528589,143.86666818436538
2023-01-21,133.17841454246107,120.26169719043799,145.63255250069517
2023-01-22,133.25088183044414,120.33297076461673,145.8260991378009
2023-01-23,131.98392985110016,119.63658196564093,144.7242917818317
2023-01-24,131.9440212973112,119.43205865091677,144.2942948392638
2023-01-25,132.06683575921636,119.6253479392511,144.35839304529642
2023-01-26,132.19874912107272,118.41895435022344,144.72204546267534
2023-01-27,132.21688325263017,119.59286708255524,144.995938177861
2023-01-28,133.66372699672965,121.75270285473458,147.33791480730488
2023-01-29,133.7368177714283,121.57617502904239,145.81629021425584
2023-01-30,132.4758454895768,119.9919094663131,144.643435731904
2023-01-31,132.44625421661098,119.57716844899262,145.05604789653512
2023-02-01,132.5825896516128,119.15673383296308,145.63081313237205
2023-02-02,132.7300125450911,120.00615002297357,144.3553231990522
2023-02-03,132.76438411447506,119.5103849050871,144.7756876706169
