ds,Most Likely Case,Worst Case,Best Case
2023-01-06,130.47080888713063,117.15078046173844,144.32336944615676
2023-01-07,132.04652460641162,120.44173623238382,144.27918647174224
2023-01-08,132.24517979199587,120.75774947249863,145.16353243552527
2023-01-09,131.08983690661066,117.8481790963632,143.76150285618473
2023-01-10,131.16474607071302,119.1482455461694,143.95224914776057
2023-01-11,131.3858655101382,117.99128546435112,143.5524601719414
2023-01-12,131.61042125022914,118.49864224187826,145.0868105330011
2023-01-13,131.72369355218765,119.24315806673063,144.6027585470053
2023-01-14,133.2304244015591,120.56742253789194,145.5949777593221
2023-01-15,133.3563641273549,119.95413635544983,146.33718984145716
2023-01-16,132.12629443946597,119.3771807597331,145.04848138080123
2023-01-17,132.1261581051993,119.889516076894,144.77515136800108
2023-01-18,132.2735386114323,120.03142961710914,144.75584973357587
2023-01-19,132.42718133530764,119.59339797928564,143.87393492273225
2023-01-20,132.47374467316445,119.95034912108683,145.2209589904147
2023-01-21,133.91917630315749,121.21300079602274,145.8893529741799
2023-01-22,133.99023341558586,121.12072478795191,147.00554407781271
2023-01-23,132.71248482473683,119.95502223889712,145.40849357816302
2023-01-24,132.67242566429408,119.85253685381426,144.57503834609443
2023-01-25,132.78794833728895,120.82093419200524,145.75429135426464
2023-01-26,132.91786140361143,119.47148759959656,145.12138392024428
2023-01-27,132.9486448471643,120.24403633543578,146.18728807097767
2023-01-28,134.38583672403016,121.87570083405059,146.95235651012143
2023-01-29,134.45556969051287,121.37694240825336,146.88647806767452
2023-01-30,133.18259483850022,121.45105421493878,145.90861440898036
2023-01-31,133.15242291624222,120.74995403159615,146.08050033707764
2023-02-01,133.28182586116463,120.90692855275626,146.77784051621265
2023-02-02,133.42838948354546,120.84238083213312,146.18372958139938
2023-02-03,133.47730482169104,121.24434796553923,145.95613154435517
