ds,Most Likely Case,Worst Case,Best Case
2023-01-06,334.97930127873786,312.99462505402545,355.8343421634171
2023-01-07,335.5832000554648,314.79179306979506,357.54930484129716
2023-01-08,335.60393796861797,313.36266292263605,356.1031875727433
2023-01-09,335.02915708528195,314.7470494573307,355.96878166145297
2023-01-10,334.9744067691208,311.6766069912959,354.58981019752554
2023-01-11,334.8675907798659,315.14188388813835,356.2960523530262
2023-01-12,334.84929034302434,314.83260689924185,356.8107244476686
2023-01-13,334.91980163040296,313.587686078909,354.7716458669402
2023-01-14,335.4309778494897,314.8336731172444,356.90606337889034
2023-01-15,335.37259790642156,314.14852278770013,356.10632357348084
2023-01-16,334.7342091436294,312.6104244710624,357.4733376471811
2023-01-17,334.6328027823374,313.54524027558443,355.80268106217807
2023-01-18,334.49722080162417,314.1943605520142,357.2292553120861
2023-01-19,334.46845281501294,314.6366822686081,356.908457331314
2023-01-20,334.54666207926346,312.39965607600743,356.11779171474694
2023-01-21,335.08303112320925,312.9491495238847,357.1569566712375
2023-01-22,335.06614883969473,314.1357217300403,358.1373613455638
2023-01-23,334.4838860124957,313.6008098122099,355.77561714156457
2023-01-24,334.4511169869166,313.18535291570834,355.2355548238249
2023-01-25,334.39418492798654,314.58279757555414,356.23083338809
2023-01-26,334.45126760925166,313.7807213830614,356.3361829900637
2023-01-27,334.61948096374914,313.8866706216687,355.3875858332956
2023-01-28,335.24680874975525,315.1887719209082,356.7349429216839
2023-01-29,335.31857786609703,313.1335511428507,356.48524379437043
2023-01-30,334.8194238715879,313.9350557149031,357.04834621849216
2023-01-31,334.86110195752985,313.17848744707277,355.6601937728163
2023-02-01,334.8670383828712,314.6063976371093,356.5974908508657
2023-02-02,334.97277697299677,312.66087592113723,355.8818593666511
2023-02-03,335.17315572813465,313.1204873404286,357.08171580625014
