ds,Most Likely Case,Worst Case,Best Case
2023-01-06,178.90934726431442,174.0887494940699,183.96880313042578
2023-01-07,179.6628812745774,174.85575746587662,184.58276853566815
2023-01-08,179.73954933832866,175.02366732061117,184.78914023662415
2023-01-09,179.01603280341746,174.14198099742512,183.95553588588825
2023-01-10,179.22098082712557,174.1278610701371,184.45462638411203
2023-01-11,179.27165251109852,174.33381178420592,183.9471850133202
2023-01-12,179.36411268176255,174.06372907368564,184.52167761618125
2023-01-13,179.4477381996224,174.46271960462076,184.28350467049356
2023-01-14,180.20003132736034,175.28164678303548,185.2197862052319
2023-01-15,180.27167120327664,174.89383032752815,185.35422274408583
2023-01-16,179.53927888333186,174.6599017427286,184.65312541810914
2023-01-17,179.73151252471848,174.98446753527412,185.12309845489904
2023-01-18,179.76571014617102,174.34918200661517,184.70685567564985
2023-01-19,179.83808492726567,174.5389608884397,184.54951378797884
2023-01-20,179.89822992798867,175.02882548890247,185.04827848213685
2023-01-21,180.62392876764605,175.65047830533902,185.74411018501743
2023-01-22,180.66620333055369,175.65819101738802,185.9219597792526
2023-01-23,179.902073994762,174.81148179688947,184.84036471489023
2023-01-24,180.06064900240582,174.8278418333997,185.1510478356922
2023-01-25,180.0597604658312,174.7955469293502,184.84650715802417
2023-01-26,180.096152044561,174.70976288658753,184.75411859126132
2023-01-27,180.11997526159763,175.3060583607499,185.01105147575217
2023-01-28,180.80959110018964,175.59991458822896,186.06325770174985
2023-01-29,180.8166080655187,175.7294285331955,186.1676175695502
2023-01-30,180.01863233948902,174.9112833520137,184.83490488696123
2023-01-31,180.14534679350282,175.13467764129146,185.2859835579918
2023-02-01,180.11513651311625,175.26612837469384,185.0048803248037
2023-02-02,180.1252660415104,174.81992582210248,184.90656293728043
2023-02-03,180.12636549223703,175.08267483017823,185.33644633333856
