ds,Most Likely Case,Worst Case,Best Case
2023-01-06,146.47133818424908,132.5036777791305,160.88471361537373
2023-01-07,146.90208971660638,132.05214527252346,161.52531053120336
2023-01-08,146.9884535798833,132.00570614592903,161.36977827046093
2023-01-09,146.7212491368461,132.32096438280507,161.06042812950218
2023-01-10,146.78880785664643,131.58820994967374,160.85129498093477
2023-01-11,146.70979459861462,133.14928095639064,161.7435029776846
2023-01-12,146.74526196185562,131.55901496315403,160.28349676392858
2023-01-13,146.67704841124637,132.54468556542764,160.97929828865884
2023-01-14,146.91707707944067,132.77793072852083,160.62927338817178
2023-01-15,146.8207392172873,130.93857202163866,161.16916373866133
2023-01-16,146.38307524289507,131.659072320816,160.15111845919438
2023-01-17,146.29635937535764,132.5206499337948,161.41024987447636
2023-01-18,146.08282218663626,131.9949445007247,159.9889419215211
2023-01-19,146.00661536101214,130.94173102117566,160.39755816142323
2023-01-20,145.85213170560772,130.3664641225936,160.49944311416476
2023-01-21,146.03323934720288,131.537339634552,158.95377407507743
2023-01-22,145.90661577152673,131.77258009876704,159.62901657373922
2023-01-23,145.46789594202292,131.52300520223656,159.0288802925035
2023-01-24,145.40924133944137,132.24782003354954,159.7415709493982
2023-01-25,145.25206465702246,131.9964923325923,158.77116664650467
2023-01-26,145.25901437744193,129.28295953884148,160.52120800055272
2023-01-27,145.21233174946198,131.52271678583028,159.83003365221475
2023-01-28,145.52313812636478,131.06944938009883,160.62177144652324
2023-01-29,145.54483692833853,131.92352859756534,160.51335788116904
2023-01-30,145.2693426890937,130.97100288924122,159.86603800838398
2023-01-31,145.38474191696898,130.8431050773506,159.62857084494158
2023-02-01,145.4081181170934,131.05277820959083,159.05399622286922
2023-02-02,145.59764260011903,130.95879361778154,159.7676692811851
2023-02-03,145.73104085239515,131.5507469527831,159.72008136207626
