ds,Most Likely Case,Worst Case,Best Case
2023-01-06,354.3193529284038,344.0678065727746,364.49665891042525
2023-01-07,354.18408109245763,344.06283357292983,363.6666528386982
2023-01-08,354.35387018809035,344.5820837236487,364.7210231146782
2023-01-09,354.5231508635238,344.31250858131887,364.58991185047165
2023-01-10,354.7435661140546,344.35780480324803,365.46818497596024
2023-01-11,355.17491045711125,345.7299104120188,364.9892711578572
2023-01-12,355.450049647386,345.13807170458114,365.6876907079636
2023-01-13,355.70558138789863,345.5947408277822,365.77849735023057
2023-01-14,355.6645882128726,345.9271942834632,365.25630384677225
2023-01-15,355.9265298609969,345.9376577039303,365.09323237661107
2023-01-16,356.1826456803021,345.8385288712274,366.9184187812792
2023-01-17,356.48158518398475,346.50057458074457,366.30690073693114
2023-01-18,356.98043409120106,346.49794106906626,366.49015295211643
2023-01-19,357.3097125946967,347.6891433135463,367.01127124423533
2023-01-20,357.6041040896866,347.74561520630596,367.644554251505
2023-01-21,357.5852636148139,347.21661801334244,366.5326368725907
2023-01-22,357.8517517495411,347.5090031175402,367.49408457802076
2023-01-23,358.0944633304989,348.01761333830837,367.714572473523
2023-01-24,358.36226835654713,349.30515594294224,368.42641519698077
2023-01-25,358.8130321176226,349.07489238550176,368.9216291539556
2023-01-26,359.0785914497825,349.18288407061874,368.7047761139408
2023-01-27,359.29544596683303,348.5725283231562,368.43059773644006
2023-01-28,359.187514573758,349.35437021242535,368.7875050602082
2023-01-29,359.35600446988093,349.08000323512994,369.9534999052357
2023-01-30,359.4947638360499,349.56923095268246,369.4604480022306
2023-01-31,359.6558377242921,349.7226454309143,369.6934481753052
2023-02-01,360.0003965903002,350.4431670382256,369.7689363532153
2023-02-02,360.16361696536507,350.1433781025182,370.5485854627127
2023-02-03,360.285275828283,350.32560574030146,370.2134876720607
