ds,Most Likely Case,Worst Case,Best Case
2023-01-06,349.19734093353384,332.3284448799996,365.9494955944907
2023-01-07,349.8891463907081,334.13768133656276,364.6882681660085
2023-01-08,349.9062520894377,333.9478679600468,365.8114429115314
2023-01-09,348.9160132641481,334.31922522018453,364.2888973425324
2023-01-10,348.9676029661397,334.529745936128,364.37679998279486
2023-01-11,349.07017267669585,333.4906802235223,364.6166210773484
2023-01-12,349.0646631164662,333.0295876212173,364.6584148929685
2023-01-13,349.0186716931053,333.199168002018,363.5435377507632
2023-01-14,349.5770233414406,333.7337071969355,365.8929993390684
2023-01-15,349.4846074995143,333.85258473236024,364.3715270291705
2023-01-16,348.4114045105705,332.79833980629707,363.58090004381955
2023-01-17,348.40861910954663,332.6881955822033,364.63453054913913
2023-01-18,348.4867905534524,332.359511303278,364.0969331151419
2023-01-19,348.4875674886357,330.6817365119738,362.27830370109297
2023-01-20,348.47855490282217,332.93960195650124,363.74874293958743
2023-01-21,349.10388045656094,333.660701757521,364.45717044699177
2023-01-22,349.10704309754885,332.53015073945875,365.05347917340424
2023-01-23,348.15596702233154,332.46105963132146,363.92520351914527
2023-01-24,348.2991780368733,331.9347817724863,362.5023441357398
2023-01-25,348.54397090061184,333.62198520808636,364.86868667734694
2023-01-26,348.728254427522,332.8717801916619,363.94733699634554
2023-01-27,348.9154800596051,333.3997408973604,364.8797259153672
2023-01-28,349.7452993016806,333.742746133134,365.73015163065634
2023-01-29,349.95651078842343,334.64954784546956,365.6762159028498
2023-01-30,349.21221774129634,332.63625778019366,365.6588616572964
2023-01-31,349.556110442417,333.06697465317427,364.971754399346
2023-02-01,349.9907398277548,334.4207886458034,365.18832690407294
2023-02-02,350.34946649448966,334.1024551659026,366.5602923541924
2023-02-03,350.69148842382396,334.1068558413237,367.69336747654177
