ds,Most Likely Case,Worst Case,Best Case
2023-01-06,156.94735601085858,121.49435792333071,192.52724727774742
2023-01-07,169.9834006809415,134.05120738561413,202.0906267119973
2023-01-08,169.9741721376498,136.94665659696372,201.64149166150116
2023-01-09,156.97136772331757,121.77530287095865,191.38152824125314
2023-01-10,156.91490503583668,122.0922969412327,189.93351408522938
2023-01-11,156.86010768491167,121.23489988191227,190.60233396465944
2023-01-12,156.7288342556826,120.04722571727062,189.7834342908811
2023-01-13,156.68226841961663,120.42819858296976,189.27754905014115
2023-01-14,169.61068507814682,133.74386439509257,203.71756962653149
2023-01-15,169.47934336345438,136.32619714225632,204.46649770074112
2023-01-16,156.34022855911306,124.19870141684817,189.28819622246428
2023-01-17,156.13376117205107,122.02755495731327,191.66808294126025
2023-01-18,155.9159899578943,121.74884176158776,192.1153604943861
2023-01-19,155.6097234469225,119.94803475302011,190.74826123551793
2023-01-20,155.37731752280627,118.81674329114095,189.1968651310606
2023-01-21,168.11043368470473,133.24921859172497,204.40786112287606
2023-01-22,167.77591871243825,135.1993012560378,200.7505461419778
2023-01-23,154.42752785039156,120.83421612118912,189.64579983279077
2023-01-24,154.00760995718326,119.46279125627281,189.28263318418746
2023-01-25,153.5742718008042,119.66313279053824,186.6475572934995
2023-01-26,153.05247658004367,117.26426274058878,189.14726223238821
2023-01-27,152.60679490279026,117.32662915504352,187.45180983173057
2023-01-28,165.1311236600654,130.5226202054396,200.91270700008602
2023-01-29,164.59452443212228,133.13972212961463,198.0546820064097
2023-01-30,151.05290454454303,116.25096287186881,184.55707734552092
2023-01-31,150.45066028070724,116.08429542469817,185.30523214763264
2023-02-01,149.84780051678456,116.10014426275947,181.81612168677788
2023-02-02,149.17100694390783,115.80349033372784,184.59824866473295
2023-02-03,148.5863501547953,112.47729429352542,181.83836640871164
