ds,Most Likely Case,Worst Case,Best Case
2023-01-06,292.4868753271624,273.23074857038466,312.8750846841451
2023-01-07,293.77804994346735,273.11357773578436,313.5071663078244
2023-01-08,293.88102788277246,275.091681001033,313.00995111613463
2023-01-09,292.8561499918231,271.93978029321374,314.3391224904954
2023-01-10,292.72759415503384,272.1129243602218,313.8014813545713
2023-01-11,292.90156521477195,273.1555647496347,311.90232744443375
2023-01-12,293.0302104994587,272.61855661747944,312.2209888302896
2023-01-13,293.13573966206206,274.2058100288974,313.19597433767007
2023-01-14,294.39756203676893,274.48968596331036,315.4254441610972
2023-01-15,294.48115417368155,274.61386909408265,314.82631114138024
2023-01-16,293.4478929892803,273.75986768478793,313.4990015799047
2023-01-17,293.3226739438582,272.46669950848576,313.4897009595259
2023-01-18,293.5120743192791,272.25286259534096,313.98027219767806
2023-01-19,293.66825094964236,274.1547529059883,313.6545189245236
2023-01-20,293.8130517059711,273.2953526904223,313.35364905931374
2023-01-21,295.1251542957711,274.02776676392114,314.834419765037
2023-01-22,295.26894513331297,275.3003198061009,315.27041858968914
2023-01-23,294.3043735520053,274.56043110322247,313.40126685010716
2023-01-24,294.2546003434162,275.36725583531046,313.20354942657826
2023-01-25,294.524200018406,274.06805174219454,315.2302593975937
2023-01-26,294.76310522978093,275.4379487641323,314.0821135714357
2023-01-27,294.99077153153934,274.88709055575043,315.00477307665034
2023-01-28,296.3833747250541,275.9455578817238,317.05287059273365
2023-01-29,296.60275208652723,279.6038207364416,316.3904294276487
2023-01-30,295.7063211724724,277.2387174626122,315.977356492498
2023-01-31,295.7147935411026,277.3749383799899,317.4118997397068
2023-02-01,296.0304411095683,275.533850015293,315.5318971883414
2023-02-02,296.3011019265634,275.0228827145666,317.264636316231
2023-02-03,296.54440193492525,277.3872190191172,315.2231530428782
