ds,Most Likely Case,Worst Case,Best Case
2023-01-06,218.06076018874828,186.0178303927498,249.30594057086026
2023-01-07,218.4850515971156,187.8597687185415,247.255662919734
2023-01-08,218.60396900670645,187.2471381790986,248.98403381800387
2023-01-09,218.64182878424222,190.44958366350573,247.37515677682862
2023-01-10,218.50536157668046,188.43152105975634,249.8517397491096
2023-01-11,218.50218601526143,187.09115399088392,248.48593316454998
2023-01-12,218.59668516878114,186.85851927817671,247.58019789172644
2023-01-13,218.37783881559844,187.10565766780246,250.8957424943196
2023-01-14,218.55745685754624,189.69916503562078,247.16475987000396
2023-01-15,218.44403005828917,189.6417621210772,248.32692791795694
2023-01-16,218.26798935208743,188.18984843895927,248.47185392408852
2023-01-17,217.9417478961414,185.7558143137595,248.42735172786968
2023-01-18,217.77802314232963,186.81077664983724,249.1919215420793
2023-01-19,217.7455748546949,188.1867128824386,248.34819861558256
2023-01-20,217.43691597221783,186.11247882783138,248.27106852286954
2023-01-21,217.5664450678138,185.7631693462015,248.4560435012972
2023-01-22,217.44421951372772,188.18704034247025,246.66495247323505
2023-01-23,217.30116294111775,184.73908857916967,247.47284725968373
2023-01-24,217.04908285256394,187.27493013206802,244.88576403000653
2023-01-25,216.99899663921525,184.96554095083798,246.53871235643587
2023-01-26,217.11690216055788,186.25583918506905,247.76878329338922
2023-01-27,216.9915492590388,184.26458150482392,249.25101133828358
2023-01-28,217.33265968011594,187.2576468375272,247.29066500547233
2023-01-29,217.44481250095,186.83118893791203,248.71388265079702
2023-01-30,217.55278596841524,185.09743855839454,244.42060541731178
2023-01-31,217.561728303408,186.9673412995778,247.35510568003343
2023-02-01,217.7756518893859,183.92276422477747,247.7403083707038
2023-02-02,218.15338273537859,187.7636976603352,249.31146833350874
2023-02-03,218.276516994401,187.18661887396138,249.59525973261003
