ds,Most Likely Case,Worst Case,Best Case
2023-01-06,182.11964488896913,178.0107412575059,186.1434102143463
2023-01-07,182.22338116285715,178.09532499519645,186.20124556167764
2023-01-08,182.26997500550507,178.21621428948615,186.15405714049314
2023-01-09,182.24315997327017,178.03209506463008,186.42048808214318
2023-01-10,182.32371362842264,178.34852818585793,186.8499672344271
2023-01-11,182.37316094802975,178.20460742503562,186.39985611288148
2023-01-12,182.42302375293664,178.12717956776328,185.99124111093877
2023-01-13,182.48668040621067,178.34442002610655,186.67227679672467
2023-01-14,182.60884562896604,178.50255489131314,186.75381650603924
2023-01-15,182.67079784374255,178.58897585392629,186.65463086172892
2023-01-16,182.65594439982794,178.57586076602396,187.18256258260232
2023-01-17,182.7448091754934,178.6190642258229,187.1770889373759
2023-01-18,182.79874050400488,178.70786815766772,186.7166524839192
2023-01-19,182.8491633754864,178.8765467943892,186.9479438763649
2023-01-20,182.90944008161932,178.96187559982306,187.02085046995253
2023-01-21,183.02434911230569,179.24082424166127,186.90471744596138
2023-01-22,183.0753097214298,178.70243150762678,187.3337045186564
2023-01-23,183.04594256978413,178.9875407129462,187.25352647008856
2023-01-24,183.11705104033194,179.0991345760957,187.14330892372658
2023-01-25,183.15032131791827,178.75814524505466,187.2520562398998
2023-01-26,183.17756537311487,178.98320077036954,187.27066084741847
2023-01-27,183.21257124325004,179.11323467878998,187.5695259940548
2023-01-28,183.3005706792252,179.15796013787383,187.5442194235379
2023-01-29,183.3234518620696,179.26050371225406,187.3926991046761
2023-01-30,183.2653079044944,179.30546263421306,187.3316772772695
2023-01-31,183.30740605246538,179.03034809290085,187.61498995059625
2023-02-01,183.3118760031928,179.2593174362054,187.42618846816674
2023-02-02,183.31094179934837,179.44618318318567,187.75855452049618
2023-02-03,183.3187619998433,179.29788654079934,187.44954710955287
