ds,Most Likely Case,Worst Case,Best Case
2023-01-06,152.38264756028536,147.00600641413743,157.79369423394243
2023-01-07,152.8232546851178,147.8202114075895,158.1387295550768
2023-01-08,152.81036923820932,147.5436786899279,157.86980454011896
2023-01-09,152.32443376287029,146.87655698629658,157.36701157421496
2023-01-10,152.30323109501225,147.04355541517594,157.37790814167136
2023-01-11,152.2513142895209,147.1188407384467,157.63347356592743
2023-01-12,152.22556091867813,146.84632918995482,157.10754996890492
2023-01-13,152.3008440608551,146.63357497366016,157.79941124875728
2023-01-14,152.74607876623952,147.8289096152679,158.25185038291326
2023-01-15,152.73884645085178,147.3254235927565,158.13123999591676
2023-01-16,152.25956366955091,147.10928474479206,157.17939958332093
2023-01-17,152.24601052567755,147.2420334335497,157.4369361156617
2023-01-18,152.20275351665728,146.90334220153932,157.2858646595413
2023-01-19,152.18669185621476,146.64894158261274,158.07127810315458
2023-01-20,152.27271993487093,146.88380489828668,157.44269151293818
2023-01-21,152.72976506499367,147.71408715246838,157.86476710681862
2023-01-22,152.73540332526346,147.25006991257138,157.7050067765349
2023-01-23,152.27002031084433,147.0096556481486,157.61177149241473
2023-01-24,152.27133238283903,147.03882148753974,157.5277651332755
2023-01-25,152.24380352174495,146.85498902764564,157.43398951297553
2023-01-26,152.24418709054615,146.82764351809254,157.4281350132607
2023-01-27,152.3471853852786,147.15871491801414,157.66944948827125
2023-01-28,152.82148627981985,147.4782987339192,158.19945004370007
2023-01-29,152.84437987952077,147.36349509854773,158.10300050878809
2023-01-30,152.3959220259397,147.2758520656015,157.5533207815782
2023-01-31,152.41346021731988,147.07398069184273,157.76213346951477
2023-02-01,152.4010569566285,146.765965177766,157.51260335140586
2023-02-02,152.41503967891313,147.080219690626,157.45138948002744
2023-02-03,152.52966992564834,147.2940327871989,157.86324179203345
