ds,Most Likely Case,Worst Case,Best Case
2023-01-06,308.56627937188415,270.77417146579745,344.310034027956
2023-01-07,312.6602884518301,278.03264061420293,351.6786120724482
2023-01-08,313.84390600333484,277.37552246475695,346.9619601564993
2023-01-09,313.22607192473606,278.22972827478424,347.8253991292723
2023-01-10,313.33897020474285,275.78543662749144,350.42660058349907
2023-01-11,314.25763636852315,277.8815313820969,349.3296004153073
2023-01-12,315.10292338995816,279.75306727356656,351.427592812088
2023-01-13,315.38155632298736,277.88981006327384,352.01580034813105
2023-01-14,318.73644826670574,282.6811470979411,354.15089669428386
2023-01-15,319.14018117586,283.06475703146623,353.6466131319897
2023-01-16,317.71870788703967,279.09056563559267,353.9229384351867
2023-01-17,317.02136043891466,278.41026578860294,353.7380921103954
2023-01-18,317.1400241414607,281.4404235258318,355.16660376982804
2023-01-19,317.21168294855977,278.7944776723582,353.17659284709083
2023-01-20,316.75807757351254,281.7199543393435,353.1267350021718
2023-01-21,319.43565941668913,282.9022278340774,356.42117931866676
2023-01-22,319.2287532557042,283.79683289244684,357.04955238487076
2023-01-23,317.2729932354083,281.02920640737113,352.3053337121534
2023-01-24,316.125123913139,279.4353091619478,352.61225611234056
2023-01-25,315.88203082564206,278.7342377982044,352.6179198507641
2023-01-26,315.68320934967954,278.99549508534784,351.65962747365813
2023-01-27,315.05041464230715,279.8726489889116,352.8741548902074
2023-01-28,317.6376751810124,279.7769603156497,353.89278445363766
2023-01-29,317.42458043815657,282.5522485211197,357.0756495787489
2023-01-30,315.5399030252583,277.2392420722688,351.533993352623
2023-01-31,314.5316412055854,277.1163943839995,352.5557306243004
2023-02-01,314.4863389049799,277.5626996743337,352.81999951331255
2023-02-02,314.5318833943263,281.2326739654781,349.42803259602465
2023-02-03,314.1775138186208,279.6952247949457,347.42610635830476
