ds,Most Likely Case,Worst Case,Best Case
2023-01-06,564.664161731972,550.4909337261373,578.8399757829153
2023-01-07,562.6712822380363,548.8814848057613,576.5979795343003
2023-01-08,563.0392557493259,550.2690756546921,576.4962151335696
2023-01-09,565.4156271789159,551.1586997637809,579.1066250529005
2023-01-10,565.8303437766856,551.7124856800629,579.0431735342212
2023-01-11,566.2519110014816,553.2855984140567,579.7759969171682
2023-01-12,566.8361208292331,554.1243895074192,580.7536386466023
2023-01-13,567.1752545057363,553.1984262107377,581.6309113069647
2023-01-14,565.1456588908442,551.365119534723,578.6562899641001
2023-01-15,565.4659425398414,551.080046707704,580.000563675843
2023-01-16,567.7850674962987,555.1039013442462,581.7384352411187
2023-01-17,568.1345114505976,554.5469941832066,581.9447622913991
2023-01-18,568.4843692206674,554.3639838327382,582.1500612799464
2023-01-19,568.9920288948607,554.9190784692781,582.9241325665492
2023-01-20,569.2513262734802,555.457049127184,582.9157383179072
2023-01-21,567.1400781809908,553.1507816459465,579.8957671180932
2023-01-22,567.3782419758553,554.6752928914082,581.5204587165224
2023-01-23,569.6159781376167,556.370106670084,582.3393900198943
2023-01-24,569.8857911929592,556.3292654658601,583.4080330899731
2023-01-25,570.1586182356327,556.2862127476984,583.7117794059981
2023-01-26,570.5925003687129,556.5622554029658,584.4179056010942
2023-01-27,570.7817403944586,558.2250395369643,584.3735719733096
2023-01-28,568.6044467324017,555.0157156804904,582.7179198370453
2023-01-29,568.7807100505445,555.1323346219394,582.2275628008676
2023-01-30,570.9606884332858,556.3342065190469,584.7996063305862
2023-01-31,571.1767751220298,558.0567122926728,584.8362827536685
2023-02-01,571.3997167365993,557.1445964430555,584.6069925184065
2023-02-02,571.7873158902497,558.458800574701,585.4603436475312
2023-02-03,571.9336200929943,558.7839883248253,585.220194139586
