ds,Most Likely Case,Worst Case,Best Case
2023-01-06,212.09384745325335,202.91950616791397,221.58894276492663
2023-01-07,213.20172243249922,202.55942751850682,222.44568093196384
2023-01-08,213.23218131830862,203.83859473727065,223.31138112406848
2023-01-09,211.97695838617128,202.86279611699908,221.87176599879976
2023-01-10,212.0312660944438,202.35181107047018,222.010756438786
2023-01-11,212.07392463019045,202.46475167592624,222.22361539183825
2023-01-12,212.08717978380682,202.61033420691197,221.72579176627644
2023-01-13,212.1375713260688,202.78593095651948,221.92983766790832
2023-01-14,213.1671860061839,202.87531513684408,222.56503497675303
2023-01-15,213.12812333294963,203.77667853112027,222.2552821334981
2023-01-16,211.81384906189837,202.67144577582587,221.3137185116067
2023-01-17,211.8210983768704,203.00130038034646,221.7698316518086
2023-01-18,211.82996516482214,202.32952957975186,221.37045269115336
2023-01-19,211.82368451424398,202.51157749032345,221.36359851237683
2023-01-20,211.8694715773763,202.93634976950906,220.87585463402587
2023-01-21,212.9097517583391,203.25500279326153,222.87422197112855
2023-01-22,212.89661108588098,203.64444735581645,222.7492458921888
2023-01-23,211.62314222229818,201.52246615846522,221.41963697297248
2023-01-24,211.68534844079215,201.35997423935586,221.49655716681264
2023-01-25,211.76224211665564,202.26744799056553,221.34155282032202
2023-01-26,211.83564480440438,202.7559735942406,222.06962640109117
2023-01-27,211.97105177560098,202.07930565874196,221.5114743715386
2023-01-28,213.10889550991533,203.73710230902668,223.0401358708838
2023-01-29,213.1990363326883,203.33238583501347,222.49477459596034
2023-01-30,212.0321548029515,202.46425931359417,221.83539872165684
2023-01-31,212.2017071728479,202.13477577928765,221.92559801061603
2023-02-01,212.3840793118848,203.27835322196813,222.52813076324736
2023-02-02,212.5584449027206,203.11469600365498,221.72531676972892
2023-02-03,212.78768943456583,204.32409963408907,222.64522077758141
