horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,92.00635816893868,9.591994483366777,5.405146308903063,0.07604964504440663,0.053017957092745205,0.07676449780629974,0.33494840294840295
4 days,91.66423329307722,9.57414399792886,5.387796612271121,0.07773271797415,0.05663847871448848,0.0784366594277467,0.31154845154845157
5 days,92.735058943326,9.629904409874793,5.474832624324183,0.07926258133027624,0.05980377547427818,0.07984236488081344,0.3145454545454546
6 days,90.00717019564189,9.487210875470298,5.30210721084645,0.07836644847031829,0.0581206071286856,0.0787929598708971,0.33613759213759214
7 days,92.558032789867,9.620708538869005,5.364129160238098,0.07946281519426929,0.057007378807923344,0.07990353302190775,0.34297788697788695
8 days,98.63504064398637,9.931517539831784,5.436274276477197,0.08134126106713517,0.05746879635925059,0.08180379687249434,0.3403896103896104
9 days,108.63313718803535,10.422722158248073,5.74350118265966,0.08468345352101449,0.06136269288653336,0.08521926987890235,0.32542521994134893
10 days,109.0809606407523,10.444183100690656,5.847293397469915,0.08734563849494735,0.06796693736235064,0.08789811629357736,0.303049853372434
11 days,104.48204277762159,10.221645795938224,5.764147928523701,0.08662629822042059,0.06830243464159222,0.08740094383282114,0.2956927564414195
12 days,97.47630633131376,9.873008980615472,5.663382059587492,0.08692310554668659,0.07054287644796822,0.08780253344642247,0.28909090909090907
13 days,98.99331330646476,9.94953834639903,5.6823213587263535,0.0870989683407072,0.06778195746112065,0.08787287703385865,0.3025296442687747
14 days,106.02105627853435,10.296652673492213,5.854636576003329,0.08996155386744405,0.07177587345777507,0.09067640398315302,0.3018181818181818
15 days,118.03215684378875,10.864260529082905,6.092747761069918,0.09231300033884624,0.0740006797566444,0.09285781831557356,0.30053071253071256
16 days,125.62409669351341,11.208215589178922,6.300991114759665,0.09404573435219679,0.07626449526847778,0.09472733318913382,0.2976323676323676
17 days,127.56754529455756,11.294580350529078,6.427044673070155,0.09626081543987824,0.07910481877126381,0.09695350461901295,0.28311264822134385
18 days,126.10801123329111,11.229782332409258,6.509715435387392,0.0982547500694813,0.07983609403570832,0.09916593255137705,0.25526289926289925
19 days,121.23378235229318,11.010621342698748,6.373236403889395,0.0986859664738784,0.0787085551642305,0.09966289236730538,0.23542457542457546
20 days,118.35231368092217,10.87898495636988,6.35407228648756,0.09857187135276473,0.07527183351187947,0.09951673655735253,0.23272727272727273
21 days,111.21693101747871,10.545943818240202,6.079226241824516,0.09678759926602411,0.07365678789538578,0.0976701409963318,0.25785749385749385
22 days,117.55539591307546,10.842296616172952,6.2049619714323985,0.09786876142903975,0.07407559658598489,0.09869966749875643,0.2740540540540541
23 days,127.62595035412987,11.297165589391433,6.328897036239783,0.0995363376391924,0.07703563890817373,0.10022861738284561,0.27613259668508283
24 days,141.06728126229365,11.877174801369796,6.683776663799066,0.10272870409672603,0.08187887762507323,0.10333184920714654,0.26387096774193547
25 days,140.15147877578883,11.83855898223212,6.754046102988956,0.10487356457552868,0.0834480742448661,0.10540285637033965,0.23923753665689146
26 days,129.427152780071,11.376605503403509,6.5317123105163,0.10282044678027284,0.08113203866837473,0.10368910204398667,0.24233349538162371
27 days,117.12604912116893,10.822478880606278,6.300847112938043,0.10164548229907971,0.08057517320735497,0.10279246845179557,0.26
28 days,114.8900465456497,10.718677462525388,6.2322475338289465,0.10125700341378113,0.08119580187059301,0.10248879525187501,0.2886067193675889
29 days,127.37455093032511,11.28603344538395,6.502413946341993,0.1045068242445358,0.08382210741328167,0.10557740476183708,0.2932114624505929
30 days,144.18642291624406,12.007765109138505,6.818538622556224,0.10702195453847012,0.08913591073735799,0.10768898280404492,0.27744471744471744
