horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,47.94773870175592,6.924430568772852,5.000843245839354,0.06461602045882905,0.050191339396451554,0.0650247207748867,0.3954030984160109
4 days,50.94324789149508,7.1374538801658876,5.062341963649271,0.06592141999001178,0.04920470715671316,0.06608162729075517,0.38022172949002214
5 days,52.62816218051925,7.254527012874047,5.062326461406383,0.06558593358520387,0.046530953891361033,0.06576159419440922,0.4018263507993932
6 days,53.81236909247208,7.335691452921945,5.074314850480518,0.0657026829941234,0.04623882227988142,0.0659553710239548,0.4207900571828685
7 days,54.90810001128851,7.410000000761708,5.123699907172692,0.06559737775367991,0.047046050038215374,0.06620029226736807,0.4370679535672362
8 days,53.50086334400943,7.314428435907308,5.17986344736749,0.06722806794624715,0.052864903627156186,0.06801675385814598,0.40723317552585847
9 days,55.398762689555724,7.443034508152957,5.451482251910842,0.07183430235019773,0.06022071969063176,0.07255108091306427,0.36527015987863226
10 days,58.71191060574098,7.662369777408356,5.725630503998768,0.0771964450859537,0.06410072171665253,0.07755563538794302,0.32736775419702246
11 days,63.52276172542896,7.970116794967873,5.930715674128464,0.08039078232727659,0.06513119148047765,0.08044108361973132,0.3261007285397529
12 days,67.71405572077865,8.228855067430624,6.027335133087288,0.08098889107715841,0.06418595979916747,0.08098032471111376,0.3436807095343681
13 days,69.86337409361617,8.358431317754317,5.964116456246464,0.07956016218275154,0.06009172405202084,0.07965643251169292,0.3754028085735403
14 days,71.06570335715821,8.43004764856986,5.889888754515051,0.07781216838205003,0.058534799524311086,0.0783039450727649,0.3859423503325942
15 days,66.4860758878565,8.15389942836288,5.713003240258341,0.07600942995969728,0.058466832899486745,0.07676389166386248,0.3890985448084463
16 days,64.45371177408084,8.028306905822724,5.875388545666146,0.07859638986728705,0.06369083347227347,0.07953884584660557,0.35033259423503327
17 days,66.52383538024522,8.156214525148613,6.161332700905022,0.08321420023697568,0.07079708465910169,0.08381999863714905,0.32425720620842574
18 days,71.95837510394085,8.482828249112488,6.391066307928432,0.08647638619946241,0.07522748532644344,0.08680932738313198,0.3078706722896106
19 days,74.55508581309111,8.634528696639505,6.372077400372176,0.08652588218081379,0.07548017368199385,0.08652284980689201,0.31725055432372506
20 days,74.59892574608128,8.637066964316142,6.239023702673625,0.0840656462360369,0.06907845964237745,0.08416960165374308,0.3318648617108181
21 days,74.02360973429494,8.603697445534387,6.147281301507078,0.0825416092867492,0.06540028735032512,0.08286847696790381,0.3503034193021356
22 days,73.88136938804094,8.595427237086062,6.147123435565025,0.08147873764336501,0.06405088371056632,0.08231321498824394,0.35908507410432955
23 days,72.10034938323409,8.491192459439022,6.237958169114097,0.08385526074028567,0.06926127174900279,0.08487164386031461,0.341118835021274
24 days,74.22256852053854,8.615252086882807,6.510980370309748,0.08844829167300762,0.07592815670659005,0.08918081843576418,0.30592834636480337
25 days,77.81032731719189,8.821016229278342,6.752872900080891,0.09341128525103794,0.07820748756756096,0.09358180112859618,0.28093414346185963
26 days,82.12018989816441,9.062019085069531,6.900935859309423,0.09569733294642381,0.07850277682952618,0.09554310007857704,0.2820283928931379
27 days,85.50774724009432,9.247039917730122,6.926641024969993,0.09513684372733618,0.07718714279592251,0.09508136902866628,0.2999490621441841
28 days,86.37638949734585,9.293889901292454,6.773421053843373,0.09207326155413738,0.06952562122639343,0.09227403298202605,0.3293422025129342
29 days,86.95854236582608,9.325156425810029,6.654839941985627,0.0895220365675798,0.06634447084244849,0.09018205297436242,0.34280272027857556
30 days,82.05269984498271,9.05829453291196,6.513955489701394,0.08841113446694315,0.06622966267149387,0.08926657574861226,0.34810061526262465
