horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,271.52587394474534,16.478042175718127,9.174384025807045,0.10121342992433746,0.07078966470194531,0.09651041098068447,0.3006191646191646
4 days,269.76210756832324,16.424436293776516,9.20942449070083,0.10131109558821132,0.0705618525969656,0.09677706828731256,0.28621378621378624
5 days,266.47849868731214,16.324169157642057,9.188764060536025,0.10036473442493414,0.0702277182625982,0.09605810767635355,0.3
6 days,249.17641610901893,15.785322806614344,8.825236063660249,0.098688424848978,0.06766031645033632,0.09478931352581399,0.2997149877149877
7 days,256.199079478659,16.006220024685994,8.904794852571442,0.10102889418085807,0.07055566658010035,0.09702438496528314,0.30467813267813265
8 days,262.74514738108815,16.209415392946415,9.010371446650403,0.10463268839056748,0.07413723774900671,0.10050847259535454,0.3010889110889111
9 days,286.1492396368263,16.915946312187984,9.469458205378707,0.10987092838292208,0.07882613621123354,0.10505287263455042,0.30744868035190615
10 days,290.83643280710345,17.05392719601862,9.60079716607886,0.11196041362921859,0.0809646467076287,0.10684714528329561,0.3047311827956989
11 days,289.80222883692034,17.02357861429025,9.648030067018453,0.11147275321370316,0.0820446933171786,0.1067228592669183,0.28837141468157507
12 days,283.1559772749539,16.827239145948866,9.622210476470855,0.11045101859505102,0.08093529095988769,0.10624648314020456,0.28
13 days,274.6327441687318,16.572047072366523,9.489859415223997,0.11025167150790346,0.08113708614091769,0.10638750712976769,0.26628458498023716
14 days,280.01283915820125,16.73358416951375,9.522625725112663,0.11223118911478434,0.08256512177287648,0.1081363261466421,0.2690909090909091
15 days,300.48120377275677,17.334393666141217,9.736444844131787,0.11576790627405242,0.0851589101634049,0.11094410659971105,0.26777395577395574
16 days,327.38460430338466,18.093772528231494,10.166549080802028,0.11936992740306858,0.0867866034109383,0.1139130762205103,0.27585414585414586
17 days,347.95979279684803,18.65368040888575,10.535260745044564,0.12315872449173644,0.08684673157899646,0.1168905080555847,0.26314229249011856
18 days,353.9724363264439,18.814155211607137,10.750158050609144,0.12416768259609641,0.09112166524055465,0.11796353168697805,0.2535429975429976
19 days,344.97746321798263,18.57356894132042,10.648787755807591,0.12274483207415453,0.09123247496065634,0.11708137277949933,0.2482117882117882
20 days,334.2090554204467,18.28138548962979,10.499252652779925,0.12019283290332794,0.08960645490895572,0.11516175480886504,0.2545454545454545
21 days,307.9668388452901,17.548983983276358,9.997828246386982,0.11734537362191193,0.08415966492357066,0.11301089552606525,0.2563144963144963
22 days,318.51751792755033,17.847059083433056,10.13229069888196,0.1201693637937762,0.08599623824610148,0.11547304753253419,0.25777886977886977
23 days,327.5116471945704,18.09728286772825,10.267213745446677,0.1237858663664251,0.08926225615908226,0.11865535540826695,0.26546459065796085
24 days,354.7651945920143,18.83521156217828,10.762426383067018,0.12885815605854303,0.09618219357797828,0.12269381027283277,0.26583577712609974
25 days,355.7550380993056,18.86146966965474,10.816012581858496,0.12937210362602725,0.09564798319189674,0.12289666152989484,0.2627761485826002
26 days,347.1941582248904,18.633146761212675,10.720734124822624,0.1268497880334765,0.09365651926350206,0.12111805704243174,0.26439474963539134
27 days,332.7915644195397,18.24257559719953,10.567259414403326,0.12455716044234061,0.08873379997731165,0.11982964266594479,0.26
28 days,318.60454728194793,17.849497115659812,10.349539977346048,0.12392778714761528,0.09298146228251981,0.11983793862056788,0.2576581027667984
29 days,328.09154834773113,18.113297555876763,10.455273830708549,0.12665946776617887,0.09560851232558265,0.12206876151449679,0.24779644268774703
30 days,353.4690731893049,18.80077320721956,10.727134168489993,0.13018641635741707,0.095858234338179,0.12450869675175162,0.2535921375921376
