horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,242.28857336999093,15.565621522123392,9.794674482291947,0.045339785431289234,0.03118341866363873,0.045261229235472794,0.39864373464373465
4 days,253.73775567968949,15.929147989760454,10.012956337518618,0.04642192540262286,0.03310994282819375,0.04631646419558756,0.39126873126873124
5 days,275.6411636005802,16.60244450677611,10.307364408871003,0.04738219382362745,0.033334327510927145,0.04728378496211238,0.39090909090909093
6 days,286.9540134102222,16.939717040441444,10.328362782960436,0.04742027356601434,0.031623380984519764,0.04733601591752399,0.36957248157248157
7 days,296.1552430785046,17.209161603009736,10.42753886876563,0.04802300463994244,0.030728281671875603,0.047883336256256084,0.36491400491400494
8 days,296.3077727437408,17.213592673923152,10.573224187989636,0.049359119051732535,0.03250895814523543,0.049202563489120166,0.34220779220779224
9 days,295.1494689144827,17.179914694621818,10.802072380839958,0.050567814895807854,0.035493308524821465,0.050478936662320416,0.3290615835777126
10 days,289.254686552945,17.007489131348724,10.987615521824743,0.051792518917718564,0.037642419262975096,0.05185045115109853,0.30668621700879767
11 days,294.5505749351787,17.162475781051484,11.22870324032273,0.05318493232425355,0.03963371404678638,0.05331239751174733,0.28119591638308217
12 days,301.28723528319324,17.357627582224286,11.37065867206916,0.05401311711996107,0.03995602462768283,0.054109987100227526,0.27454545454545454
13 days,318.3603370460115,17.84265498870646,11.419964741963174,0.054000515837592855,0.03885307051272307,0.05392282523600509,0.29725296442687743
14 days,331.4745072781144,18.20644136777186,11.564561853108353,0.05458499188035015,0.03851839548453582,0.05441695191632965,0.3
15 days,348.5927045201602,18.67063749635133,11.825067549849763,0.05597611445325498,0.038809997232194596,0.055739215109092376,0.285995085995086
16 days,341.16083283421546,18.470539592394573,11.924574273594141,0.056670269093024084,0.040666005747938466,0.05656594569255956,0.2631568431568432
17 days,323.1210714789827,17.97556873867925,11.754329553847404,0.0560515854329146,0.0417180491875799,0.055995358066634374,0.2740810276679842
18 days,314.0329211209669,17.720974045491033,11.751873472485965,0.05629645312113674,0.04349770410773335,0.056253888924617225,0.28083538083538084
19 days,324.5518086552014,18.015321497414398,11.876566121946299,0.057037544562901075,0.04329713851886423,0.05695446594059543,0.27528471528471526
20 days,346.3311794663514,18.609975267752276,12.053039416077155,0.057444305945220965,0.04244713158835868,0.057358420037528286,0.2781818181818182
21 days,354.2419756202247,18.821317053283618,11.960421622932058,0.056924562518625585,0.042212839001758984,0.0568842042840143,0.2710958230958231
22 days,361.8536301183088,19.022450686447023,12.035872567102153,0.057210292300329764,0.042216968253176675,0.057120697251120525,0.2668402948402948
23 days,358.44294982856576,18.932589622884816,12.164064770918454,0.05846702359990525,0.044727679101275175,0.058360281791153455,0.2436062280261175
24 days,353.72530659512086,18.807586410678027,12.335949675032184,0.05925564733876399,0.04497794343323391,0.05920586799039507,0.23868035190615836
25 days,344.7086192435258,18.566330257849174,12.470177105168549,0.060258846375545856,0.046405465681967545,0.06034603505314724,0.2263343108504399
26 days,347.54591413578055,18.64258335466897,12.592136170169429,0.06101512541066154,0.048134583484784055,0.061179286909745216,0.2221390374331551
27 days,352.5836893759021,18.777211970255387,12.651017613656157,0.061450164990309496,0.046828481120177894,0.06156998182500035,0.22363636363636363
28 days,367.83088319562495,19.178917675291924,12.63798039577024,0.06117759998380935,0.046124929927799374,0.0611292672134675,0.2468675889328063
29 days,381.5025685734654,19.532090737385627,12.818953015822496,0.06181470107981603,0.04581385751715232,0.061684573877788966,0.24767786561264823
30 days,397.1962536736509,19.929783081450008,13.105245836731225,0.0634159863872562,0.046794598754782105,0.06322261526299632,0.2408845208845209
