horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,136.01412444677086,11.662509354627367,6.024148796995973,0.07672963755629084,0.047109758268672156,0.07374203502726234,0.3767272727272727
4 days,136.64619925986875,11.689576521836399,6.0642988513275755,0.07858688650150301,0.05221345993278485,0.0755433396019033,0.3605194805194805
5 days,138.4058526567109,11.764601678625201,6.113832076448681,0.07925053220313365,0.05291961235827842,0.07629987454081166,0.36363636363636365
6 days,135.67281477520865,11.647867391724919,5.982926033413912,0.07852550160345219,0.052300289580127904,0.07586964571940331,0.3674889434889435
7 days,138.9969860867888,11.789698303467684,6.004930328633753,0.0789373336997085,0.052440875999689315,0.07623556213483776,0.3667321867321867
8 days,138.8430680973733,11.783168847868271,5.991735581570363,0.07942149169005695,0.05307564635342919,0.07673000665070667,0.3601398601398601
9 days,148.6620561953458,12.192705040119105,6.313855001667913,0.08319235434598636,0.05528489879060693,0.08010567951751453,0.3417302052785923
10 days,153.48742488446462,12.389004192608242,6.503960820430828,0.08618641558515514,0.05820228665985747,0.08291268975198506,0.3249071358748778
11 days,154.60295166265982,12.433943528207767,6.566885779534368,0.08788170513668526,0.0601815981927714,0.08450202578285011,0.3140690325717064
12 days,151.03728016393276,12.289722542186734,6.518054778164081,0.08825717321431047,0.0623496849584801,0.08504451043618719,0.30363636363636365
13 days,151.64110010234012,12.31426409097759,6.521339308566103,0.08946712544066887,0.06536356103892485,0.08624756414655409,0.2897628458498024
14 days,154.33234360058572,12.42305693461097,6.582270120496571,0.09079720252508915,0.0676743841691203,0.08764210645784123,0.2690909090909091
15 days,159.94328159469364,12.646868450122096,6.644900809882546,0.09132776528626795,0.0643506099002983,0.08806829104277307,0.26963144963144964
16 days,165.64296857505778,12.870235762217325,6.790525312390659,0.09197922960139135,0.06365193118775717,0.08869570901479008,0.2740859140859141
17 days,175.78813111012525,13.258511647621887,7.028877061052922,0.09487202585610872,0.06477856168001894,0.09111632761577955,0.26672924901185774
18 days,181.04044382716756,13.455127046117683,7.209381628036434,0.09788235492206272,0.06860412601690292,0.09375756222663278,0.25356265356265356
19 days,175.64533439276195,13.253125457519896,7.12875677526051,0.09842215363745424,0.07204683876326617,0.09442554057475157,0.24279720279720282
20 days,171.73302217857648,13.104694661783482,7.064976651575906,0.09782647163022117,0.07143870285196693,0.09417331205249564,0.2545454545454545
21 days,163.1190968534624,12.771808675886998,6.806036755374125,0.0954319354766986,0.06936091168218894,0.09246777657695379,0.2637051597051597
22 days,170.4556494220462,13.055866475345335,6.8754723308982975,0.09576323171113912,0.06784317601344828,0.09263146689134964,0.2667518427518427
23 days,173.8478436530189,13.185137225414794,6.911883168503522,0.09641789601936633,0.06833075616825912,0.09308589546373051,0.2742742340532396
24 days,187.74811465532233,13.702120808667624,7.295888236879455,0.10063091450984965,0.07067270440152035,0.09653825628658168,0.26592375366568916
25 days,191.49808702234347,13.838283384233156,7.465550188147185,0.10336645407873737,0.07158615352342493,0.0989562554426161,0.26453567937438904
26 days,186.0755755253951,13.640952148783276,7.410690106523035,0.1039999604382538,0.07146246380559342,0.09972794960210067,0.24989790957705396
27 days,176.0627346444309,13.268863351637581,7.243112003355877,0.10336643099160281,0.07459675857813156,0.09960645634352923,0.24181818181818182
28 days,171.356511635256,13.090321296104843,7.14690162439158,0.10352052742901939,0.07781828860945877,0.1001734049030619,0.23046442687747037
29 days,178.325426959029,13.353854385870358,7.271987230166909,0.10478238745042802,0.07929339091488731,0.10141451604056537,0.225899209486166
30 days,188.3881010456257,13.725454493226287,7.404331580965069,0.10570338499868136,0.0796413735393925,0.10197130902358682,0.23359213759213762
