horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,27.31602721346747,5.226473688201967,3.798044572460157,0.03264822940558782,0.02657956601583511,0.03250366674763157,0.4022604422604423
4 days,27.342982555408646,5.229051783584539,3.8166273664519434,0.03320027010398879,0.028293769602954426,0.03302574674552785,0.38953046953046955
5 days,28.20443589234657,5.310784865944634,3.871754347018618,0.03363206662898033,0.02902927658651255,0.033455495562357586,0.38181818181818183
6 days,29.118576934849266,5.396163167923044,4.0174137005997075,0.034884412483261185,0.030025039475189308,0.034694773360235576,0.3460835380835381
7 days,31.27611448090301,5.592505206157882,4.153026306417158,0.03597725417570181,0.031264439900650864,0.03576281521320942,0.3485110565110565
8 days,32.56396404049378,5.706484385371941,4.227542812675419,0.03668365096965452,0.03096736428653011,0.03646429599253294,0.35144855144855147
9 days,32.723940878957755,5.720484322062053,4.233557468657085,0.036867969832841144,0.031069714856522504,0.03665665121598828,0.34354838709677415
10 days,31.345377219306222,5.598694242348498,4.217171776945188,0.03709160259545534,0.032267595511005276,0.03691502667681298,0.32854349951124145
11 days,31.640296618008115,5.624970810413874,4.309579383783954,0.03814126806433731,0.03375252824464469,0.03799422402036793,0.31603305785123964
12 days,32.30907656723009,5.684107367672614,4.393718647527317,0.03889265433703567,0.03629685511463253,0.03879320297181923,0.31272727272727274
13 days,32.54993643739555,5.705255159709822,4.43288818625217,0.039252046390103636,0.0363442074458728,0.039152302390020426,0.3115415019762846
14 days,33.3863510091048,5.778092333037332,4.460029296932123,0.0396540044300409,0.036140307103326504,0.039508954237791785,0.3054545454545455
15 days,34.713958615401374,5.891855277873123,4.508999448012278,0.04039613049339398,0.035941936569164015,0.04017571434239336,0.2987420147420147
16 days,36.97544635470913,6.080743898135254,4.618011214140425,0.04124107137706087,0.037143507564059694,0.041019959689834885,0.3067132867132867
17 days,36.73876898838367,6.0612514374824995,4.649594291133438,0.04178842489673041,0.03834191849793776,0.04156670340756579,0.2903853754940711
18 days,36.656604733978,6.054469814441063,4.627435534898137,0.04169410066931003,0.03679891521005836,0.041499194977739254,0.31154791154791156
19 days,36.37970726136124,6.031559272805104,4.616047696880652,0.04194523717811461,0.03700750461983732,0.04174315274248445,0.3026973026973027
20 days,37.043328251556424,6.086323048570165,4.632008901083356,0.041871196910276666,0.03711750639245813,0.04170665251630523,0.30727272727272725
21 days,37.9012090258251,6.156395782097274,4.745363428934596,0.042830845811609196,0.038509841762385054,0.04265712768240668,0.2771007371007371
22 days,39.98781969696769,6.323592309515825,4.867311194574272,0.04383980390689881,0.0389881330373454,0.04363628793828759,0.25980343980343984
23 days,40.84999756776334,6.391400282235759,4.915323597208671,0.04428710764648623,0.03924724674288976,0.04404741194175267,0.24902059266700152
24 days,40.22560522007342,6.34236590083491,4.891287339716529,0.044211344419221185,0.038802132182587934,0.04396665469865786,0.2441055718475073
25 days,38.09551805075044,6.172156677430543,4.815569458898716,0.04377673738966175,0.03865653413764167,0.043564998950177763,0.24999022482893452
26 days,38.26382095014113,6.185775695104142,4.881070525056911,0.044575554404322364,0.038961359436042856,0.04443030858739059,0.26400583373845404
27 days,39.03266622880177,6.247612842422438,4.945723663543079,0.04505403909697323,0.04079835888493892,0.04499915375448717,0.27454545454545454
28 days,39.09114488109701,6.252291170530769,4.97400294414863,0.04526246198185797,0.04268192334603865,0.045226437330665205,0.28130434782608693
29 days,39.74993214484617,6.304754725193215,4.984231885467082,0.04543995394900164,0.042630614018771947,0.045336314855276845,0.27869565217391307
30 days,40.79616595354284,6.387187640389379,5.024743414782958,0.04615602424115074,0.04252288843447059,0.04594110881769404,0.26282063882063883
