horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,262.50677355989495,16.202060781267765,9.80969191389506,0.04749146125970059,0.0362082024917804,0.046689454001237383,0.412972972972973
4 days,260.1579404746543,16.12941227926964,9.67561129336833,0.047896179647220954,0.03797065385364272,0.047036599071870376,0.38757242757242755
5 days,269.97813945069777,16.43101151635826,9.780044911965092,0.04849879443009652,0.03853571738543942,0.047569642231797944,0.37454545454545457
6 days,277.12564480916814,16.647091181619935,9.81933020133981,0.04878820781893088,0.03927332791670848,0.047918198608622335,0.3712137592137592
7 days,294.7879043542329,17.169388584170168,10.08543536203219,0.04984536975829971,0.0401811760447858,0.048949919771633564,0.3776609336609337
8 days,309.205366237232,17.58423629951645,10.383351917829357,0.051609284594701134,0.041218318790528244,0.05068674054976708,0.36746253746253743
9 days,311.3071142185696,17.643897364770904,10.536231953816863,0.05224391611739608,0.041218318790528244,0.05132821681259119,0.38158357771261
10 days,283.4256777775879,16.835251045873594,10.267097846367443,0.05163941731479222,0.03962853735852247,0.05083913573585282,0.39227761485826
11 days,265.17953798928033,16.284334127905886,10.045589459607928,0.05124002681366782,0.039185464178947055,0.05056950079660405,0.39225085075352456
12 days,284.732571838708,16.874020618652448,10.373270790773416,0.05339398099231355,0.04157632078444018,0.05257683031264888,0.34363636363636363
13 days,330.1552458583681,18.170174623772006,10.963987358220098,0.056128658064954415,0.04339770345294659,0.05498894225191123,0.3187351778656127
14 days,359.74295016822043,18.966890893560294,11.43544193134223,0.057916823341261255,0.04314902423952004,0.056596436537102286,0.3181818181818182
15 days,368.5549256126316,19.197784393326007,11.641000688336495,0.05880743711813877,0.04397818775936882,0.05748034998576447,0.32413759213759213
16 days,358.5555716643819,18.935563674324086,11.727378335181893,0.05896970724923517,0.04585635120396044,0.057854795381803964,0.3302797202797203
17 days,342.85712692046087,18.516401565111426,11.598913790257216,0.05893554023201757,0.046542942605249785,0.05791952148346712,0.3249209486166008
18 days,326.37173684841434,18.065761452217128,11.398297023917912,0.05879764349097353,0.04702070781109109,0.05785100797584702,0.325995085995086
19 days,322.83979135225474,17.967743078980586,11.24930124212889,0.05936305835099631,0.04839234469628711,0.058407748903976035,0.29334665334665333
20 days,334.0012878526276,18.275702116543364,11.346261983823993,0.05995988792391067,0.049435009007221226,0.05895051964408879,0.2818181818181818
21 days,339.25672873385565,18.418923115477075,11.323924825006609,0.05972077029825781,0.04924040622728269,0.058771168297281906,0.29125307125307126
22 days,354.77409683709425,18.83544787991765,11.521961579507122,0.060300895198268215,0.05097396438110782,0.05932437480259228,0.31047665847665845
23 days,363.96230482147115,19.077796120660036,11.707278910005826,0.06143792543893427,0.051512540392300965,0.06042340699837563,0.31217478653942743
24 days,360.0168460931964,18.974109889351766,11.75555672577417,0.06169712353031556,0.0511562203774695,0.060666518160469925,0.32920821114369503
25 days,325.806694899474,18.050116201827453,11.399350107359549,0.060351886396690785,0.0499228295895016,0.059455547960954556,0.34113391984359726
26 days,304.1396850854935,17.439601058667986,11.127212227472588,0.05966480339335971,0.04950453006157672,0.05896282112702393,0.3281769567331065
27 days,324.6918888680336,18.019208885742835,11.416703364295461,0.061173836029477506,0.05123379522562313,0.06035664714754221,0.2963636363636364
28 days,372.43218137410764,19.298502050006565,12.003590650207837,0.06384978368247352,0.05180300095088787,0.06268283970774507,0.2777075098814229
29 days,403.1108656309626,20.077621015223954,12.470891494868077,0.06556560315478818,0.051657268995852525,0.06417858508015867,0.2804743083003952
30 days,408.82048382003916,20.21930967713881,12.636558432268817,0.06640576218540645,0.0515286553844584,0.06498161542042927,0.2828402948402948
