horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,1444.47637841284,38.006267620128654,21.024040345900893,0.12441660522211986,0.0648022418880493,0.10825462335415445,0.3416999719980653
4 days,1387.3043656827556,37.246534948673485,20.729282185329474,0.12422483030015911,0.06448048569557877,0.1084420342833949,0.3407257544908636
5 days,1408.2184648160846,37.526237019132154,20.921230125399685,0.12717170465585187,0.06497458160099007,0.11136364508290723,0.3277239895497157
6 days,1434.3050371729803,37.87221986064429,20.920747044706825,0.1295703405556515,0.06607475991365876,0.11357582761988375,0.3105629834537165
7 days,1532.5392426536625,39.147659478615864,21.509703908345877,0.1338217619576036,0.06672859594921426,0.11672276322079916,0.3138852342880275
8 days,1548.8675289910925,39.3556543458636,21.743503535911085,0.13439093409347216,0.06970466148222453,0.11768677401861956,0.29961413431297407
9 days,1595.7454722547195,39.9467830025738,22.33587750813175,0.13542153981488445,0.06914371626992855,0.11864991264183375,0.2994467496542186
10 days,1596.7853727853424,39.959796956257705,22.44516458352156,0.13578355424005434,0.06855966522630602,0.11852159100007074,0.29045643153526973
11 days,1565.4350294002575,39.56557884576261,22.30024983472047,0.1355340519976345,0.06916955200145403,0.1181614575802937,0.3072425499811392
12 days,1538.1615541610074,39.219402776699795,22.220459761685856,0.13835020455164648,0.070114326142173,0.12074798272982414,0.3126426348547718
13 days,1574.6626419582685,39.682019126529696,22.689679017716838,0.14398934033135374,0.07276251495885121,0.1260739921430953,0.2800829875518672
14 days,1697.642467446148,41.20245705593476,23.462102080004602,0.1492167703714188,0.07541270036202743,0.1303457660723327,0.2592716682559728
15 days,1836.2055782312402,42.85096939663373,24.497509556532954,0.15384323982046927,0.08219598800909281,0.1349936858633406,0.2307771118282875
16 days,1915.0769540421784,43.761592224714335,25.01555892462621,0.15408463054370417,0.08384522537883535,0.13535481041137232,0.24427490939650193
17 days,1931.2845822229813,43.94638303914193,25.229814723605607,0.15475122921026563,0.0855481869090169,0.1350798717051034,0.24918172212056391
18 days,1882.4501560561898,43.38721189539828,24.94612975558097,0.15395017959587604,0.083494959032852,0.13352429332882018,0.2671161825726141
19 days,1797.0726636138777,42.39189384320872,24.47562837289044,0.15332073174425298,0.08336775680469885,0.13393470217075046,0.2653668719878354
20 days,1810.610028591423,42.55126353695532,24.6104359855632,0.15663895655639934,0.08354309626770792,0.13795770095545712,0.2504610419548179
21 days,1820.050119119531,42.66204541650026,24.373218528543887,0.15733282047785777,0.08307757135653171,0.13911554660489678,0.22637159981558322
22 days,1921.755516055426,43.837832018194355,24.911908087682093,0.16134164044566404,0.0829946366602993,0.14189731606485617,0.22402820558511316
23 days,1921.8399827693916,43.83879540737167,24.974031987792753,0.15985444895557238,0.08528724977078375,0.1404537049829073,0.22487247931918491
24 days,1959.774952445463,44.26934551634419,25.488324436252274,0.15910276659493516,0.08308639760330742,0.13887677581614213,0.245398773006135
25 days,1933.4723372302292,43.971267177899584,25.422246777243103,0.15762165341081633,0.08107582490161057,0.13688243890107343,0.2551867219917012
26 days,1871.1747712155661,43.2570777008291,25.083115219106983,0.157001230219761,0.08107582490161057,0.13688123744167077,0.27002389035584057
27 days,1827.799165253026,42.752767925048154,24.86827119547098,0.15999347669181802,0.08169004117065694,0.1404514752213567,0.2640404894679811
28 days,1856.9209363838208,43.092005481107755,25.191508386901393,0.16498720079582502,0.08641748265572957,0.14564977460186423,0.23555497925311203
29 days,1987.0069282531208,44.575855889181994,25.998655113331598,0.17042541283465446,0.08801989854781936,0.1501028073020458,0.2174792531120332
30 days,2128.7166134420204,46.138017008124876,27.029578396181822,0.17419215220592343,0.0943385720530199,0.1534229833679697,0.19864178758279427
