horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,807.7943941465205,28.421723982660176,13.861064616880004,0.16725462727863416,0.0991621680918608,0.15970871020949945,0.3168845208845209
4 days,800.4549129228795,28.292311904877614,13.863666064861583,0.16831043869443513,0.10437713714406022,0.1609834476000179,0.30245754245754247
5 days,840.1370965967113,28.985118536875287,14.188975386457873,0.1705502403616287,0.10673099949446807,0.1624882855028303,0.28545454545454546
6 days,864.4462337441291,29.401466523697916,13.945459950257243,0.16988399250739436,0.10888514030588109,0.16187719526453992,0.296019656019656
7 days,900.0026423910049,30.000044039817755,13.872602151754709,0.17196808110206158,0.10720863071355391,0.16337247042534658,0.29568550368550367
8 days,905.0243943464646,30.08362335800767,13.711386202740165,0.1741209408425283,0.10735173056009033,0.1651423133079159,0.3136163836163836
9 days,932.2967224693726,30.533534392031537,14.28318282104593,0.1792205998631506,0.11441527931838008,0.1704356868970662,0.30193548387096775
10 days,902.6009797508129,30.04331838780152,14.47422630827662,0.18359036413541716,0.11836456245689328,0.1751475744834925,0.28113391984359726
11 days,847.9619723345623,29.119786612105564,14.1780733277161,0.17967732087005978,0.11515323316295019,0.1731310411033523,0.2647836655323286
12 days,839.4235927232589,28.97280781566155,14.137979286214389,0.1805777211821728,0.11362504505363849,0.17368843078528484,0.24909090909090909
13 days,904.1361146336908,30.068856224234583,14.490590555613505,0.18231035430997505,0.11596499719169942,0.1748618341002943,0.2535375494071146
14 days,973.2333970755453,31.196688880000476,15.048379555079006,0.18898448709252663,0.12291708422135252,0.18153106590667195,0.24363636363636362
15 days,1027.570792327909,32.05574507522652,15.31420983127858,0.19199637332304922,0.12576902223228997,0.18370606517035784,0.2604029484029484
16 days,1042.8701728420788,32.293500473656906,15.599317268742519,0.19488614372634874,0.127163005880783,0.18692897118797996,0.26500499500499497
17 days,1056.5641976007853,32.50483344982381,15.904371284469423,0.19963447293919087,0.12895481023140729,0.19070044314611434,0.2667786561264822
18 days,1027.4219497107244,32.05342336959852,16.053401241559193,0.20276429858828093,0.1324861215511088,0.19464232911419851,0.2462702702702703
19 days,1002.1427038787017,31.656637595908723,15.841829309292116,0.20170674934172145,0.13580904997150758,0.19401199456273555,0.22999000999000999
20 days,1033.5372754376695,32.14867455180181,16.001102390900776,0.20246792495185023,0.1389383589734073,0.19406414839835798,0.21636363636363637
21 days,1046.5737321864015,32.350791832448266,15.565874388866115,0.199978770170356,0.1325726202790941,0.19187049177710286,0.22880589680589683
22 days,1097.5160565699912,33.12877988350901,15.611321231954875,0.20178062188838028,0.13027468691838706,0.19280386865196641,0.23760196560196561
23 days,1105.2268641268533,33.24495246089026,15.494236122385532,0.2028829856769257,0.13072663242084015,0.19337210703495472,0.2527373179306881
24 days,1133.2263421360203,33.66342736763475,16.135269063181084,0.20736433480717456,0.13825592053938274,0.19788753902499565,0.24225806451612905
25 days,1084.8885612723896,32.93764656547868,16.237282885217287,0.2109844924145139,0.14479876617639795,0.20211151907012787,0.2300097751710655
26 days,1002.0756854487469,31.65557905723329,15.693924724928035,0.20509988092145104,0.14247039421661273,0.19872138015507276,0.2186971317452601
27 days,975.3838537396927,31.231135966206747,15.42009318421035,0.20403963894220215,0.13933301542072524,0.1975446301190058,0.21272727272727274
28 days,1030.5206557907318,32.101723564175366,15.614184567270764,0.20405093127021895,0.13326371832144873,0.19717458438090535,0.21777667984189725
29 days,1118.296090483808,33.440934354228325,16.339809947325634,0.21041252135458982,0.14065302279049963,0.20325550432228662,0.21858695652173915
30 days,1182.5858306422042,34.38874569742555,16.72120067800265,0.21289974543901125,0.14207528533349392,0.20454725293201662,0.2370909090909091
