horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,7.4585059532615094,2.7310265383663905,1.770969597931087,0.053279761350044315,0.040944451816718894,0.053615509160610954,0.38585749385749385
4 days,8.220080442300059,2.8670682660690274,1.8478432086929935,0.05563423224187201,0.04268432094947144,0.055965130161406806,0.3803996003996004
5 days,9.467150058760572,3.0768734226094794,1.9500292668000372,0.0581623749347506,0.043520081699495616,0.05847882966166155,0.3654545454545455
6 days,10.57387333309235,3.251749272790316,2.0128705294976483,0.059703311665911446,0.04289142175722173,0.060007731256033876,0.352972972972973
7 days,10.771731570807265,3.2820316224569295,2.0126074857486382,0.059708616084071534,0.04051014242197967,0.0600012730032917,0.3631744471744472
8 days,10.127674889524014,3.182400805920589,1.9780023482211675,0.059566599852449206,0.04051014242197967,0.05983854412847434,0.37326673326673326
9 days,9.163332973425085,3.0270997627143186,1.9468602826741228,0.059320530860052866,0.041128329662613754,0.0596351297250987,0.37234604105571845
10 days,8.50016928925684,2.9155049801461224,1.9146410351677543,0.05884904344330256,0.04331685792947469,0.059254478015609416,0.3560117302052786
11 days,9.051778293411378,3.008617339146236,1.9831898779263752,0.06085824779311923,0.04646098200076397,0.061333406171542454,0.336130286825474
12 days,10.003346014480359,3.1628066672625375,2.0767679605581053,0.06358062876532754,0.04733840669541381,0.0640245398014559,0.3290909090909091
13 days,10.951893272444362,3.3093644816557095,2.169642153798065,0.06600512870326902,0.04870342668308922,0.06637003332456269,0.313399209486166
14 days,10.548751562923508,3.2478841671037944,2.1369443545922566,0.0653318211051289,0.0469408120499793,0.0655750833200958,0.31636363636363635
15 days,10.069429844251808,3.1732364935900708,2.106285365009105,0.06489776331969771,0.04763334908911607,0.06504409146482684,0.3133071253071253
16 days,9.626055049943467,3.10258844353283,2.0938832629265063,0.06509990861410318,0.04985932516940894,0.06528448525516233,0.31213786213786215
17 days,9.580064615265993,3.095167946213257,2.1052186712319654,0.06553820341701051,0.052710181836805765,0.06584024977150646,0.30125494071146247
18 days,9.812434564608356,3.132480576892434,2.1305942371254027,0.06614380984878093,0.05480800515106572,0.06658064580973853,0.29708108108108106
19 days,10.67695278552163,3.2675606781698225,2.1989452226334745,0.06821936866315133,0.055264009341524166,0.06865235227712443,0.28985014985014984
20 days,12.052543817463809,3.471677378078759,2.2883412731485953,0.0702747795437364,0.05520996349613034,0.07070723426833445,0.28
21 days,13.167688438304332,3.6287309680250934,2.329694938347402,0.07106993113767111,0.05337504398054846,0.07149397478470736,0.283980343980344
22 days,13.235182455588932,3.638019029030625,2.3100042291066765,0.07011673191486825,0.05105642161107983,0.0705320279719778,0.31062407862407865
23 days,12.320931874475514,3.5101184986372633,2.260345270082713,0.06936108975739808,0.05133176069603046,0.06972294393862624,0.33229532898041186
24 days,11.076476560418635,3.328134095919008,2.2199157273630683,0.06889541808918194,0.05385646433313709,0.06927146573062452,0.32712609970674483
25 days,10.197591472868995,3.193366792723472,2.1714303075583707,0.06787598016655352,0.05442520486196779,0.06833848388345669,0.30858260019550343
26 days,10.78443367460665,3.283966150039712,2.2335278889375463,0.06981548281450603,0.056252576709909186,0.07037613436120789,0.2866018473505104
27 days,11.78522264760326,3.43296120683052,2.309330745814945,0.07186325289745575,0.05977394263701963,0.07240202045288306,0.28909090909090907
28 days,12.791916801839296,3.5765789243129107,2.3881655769045302,0.07377848288798664,0.06031030698771307,0.07424480327683661,0.2977075098814229
29 days,12.285653722634278,3.5050896882439795,2.340486857158559,0.0721577067320513,0.05437628591301352,0.07248852708529942,0.32411067193675885
30 days,11.687316773119857,3.4186717849363455,2.3090783690415413,0.07158770428067428,0.054673424848033496,0.0717888784297463,0.3283734643734644
