horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,39.31803133564455,6.2704091840680185,4.188445652607544,0.04486076758650195,0.028410873925732685,0.044898645606445506,0.4237837837837838
4 days,42.56540986218428,6.524217183860779,4.357161904142912,0.04660886270367044,0.02914262682110421,0.04659188896074383,0.40575424575424573
5 days,46.25568191374532,6.801152984145065,4.498344623656116,0.047806773688313514,0.030037553506505603,0.047697669082374765,0.4
6 days,48.061891591576114,6.932668432254359,4.551992895812812,0.04863685159616354,0.03024820382223973,0.04847962247791349,0.3966977886977887
7 days,49.580346738357015,7.0413313186042465,4.613388580044515,0.0498543855593282,0.03263449612713262,0.04963822907969214,0.3832923832923833
8 days,49.85277341995228,7.060649645744524,4.650173302413691,0.050940890481157144,0.03547413414955519,0.0507249856401448,0.3692307692307692
9 days,49.223004953227466,7.015910842736491,4.697807123546874,0.051531436022971604,0.03628602658923316,0.051306294193192256,0.35255131964809383
10 days,47.53518201003931,6.89457627487283,4.753740120439107,0.05229719027169617,0.03744570536475498,0.05217095783391027,0.343147605083089
11 days,48.13983464781655,6.93828758756918,4.8483374984582435,0.053389484696964695,0.038082940012752475,0.05328452635262203,0.3305298979095771
12 days,49.46125800263011,7.032869826936235,4.92287441099593,0.05427835653907789,0.0388845017442246,0.054286936070697255,0.34
13 days,51.94066415832648,7.206987176228807,4.9918649664084,0.054930410532166095,0.040587046386987714,0.054939381444873515,0.32610671936758895
14 days,51.69379936570149,7.189840009743018,4.965119222994178,0.05487345414517497,0.04117915957594247,0.05486653482269603,0.3290909090909091
15 days,52.50785364326262,7.246230305701208,5.002876681613629,0.05573556918085249,0.04211918864040791,0.05562523198792601,0.31702211302211303
16 days,51.54186572617693,7.179266377992735,4.988569631709855,0.055870724084702304,0.04368173131597991,0.055787976207839846,0.3303096903096903
17 days,51.58176636859904,7.182044720593088,5.071161950066914,0.05698114365349438,0.04487607179297866,0.05699481832140137,0.328498023715415
18 days,53.09286849522439,7.28648533212168,5.179141874321116,0.058113614401610336,0.04542007414484312,0.05819773806907825,0.3315085995085995
19 days,56.62806962408261,7.525162431740767,5.322210941443086,0.05956623081066444,0.044455201216602146,0.059607017818007195,0.32973026973026975
20 days,60.564141291315224,7.782296659169144,5.436714596719258,0.06032968491345406,0.044282680469759333,0.06029397547209147,0.3181818181818182
21 days,62.04959840082048,7.877156745985221,5.458243337740032,0.06073566887013651,0.04438101852975884,0.06063263584344929,0.31516461916461913
22 days,63.082774276954325,7.9424665109117285,5.499227069324747,0.061696636976715936,0.04662488354499498,0.06151961521637821,0.2963439803439803
23 days,62.4539620859069,7.902781920685076,5.498811116532898,0.06234226513944245,0.047657144207644386,0.0621454568429165,0.29399296835760924
24 days,60.85555269898804,7.800996904177571,5.510069215142819,0.06244717957799152,0.048181615728109514,0.062234681871279285,0.28214076246334313
25 days,58.425628391401006,7.6436659000378215,5.5276548044347065,0.06271686223714072,0.049661098847692514,0.06259724078897437,0.28099706744868036
26 days,58.97922820920633,7.679793500427361,5.605302389826015,0.06368025634794527,0.05055423679223779,0.06360735474146066,0.27348565872630043
27 days,60.43155905993744,7.7737737978370225,5.658233754964391,0.06431729836695967,0.050419255346588136,0.06439151921308996,0.27454545454545454
28 days,62.91836229096165,7.932109573812105,5.695810604589283,0.06447601518441112,0.04972084189957805,0.06455024770124845,0.27407114624505924
29 days,62.26494480235703,7.8908139505602986,5.641510683271537,0.06402229410866563,0.04959670708217277,0.06406731045464464,0.28229249011857704
30 days,62.60482741264837,7.912321240486155,5.668793910118336,0.06474817173573637,0.050592943939427384,0.06466744354134582,0.2828796068796069
