horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,241.32979499892105,15.53479304654301,10.220746682215612,0.04544130526374184,0.035035814906947335,0.04564553282454328,0.3677739557739558
4 days,256.6207799505763,16.019387627202743,10.424237688237517,0.04605279469244038,0.03451282153573556,0.0462170989662685,0.36045954045954043
5 days,280.8705228451772,16.759192189517286,10.880629654057776,0.046997341169018304,0.034728045153249176,0.04714994256524075,0.3509090909090909
6 days,288.1254562928169,16.974258637502167,10.971805413554025,0.0476498168592732,0.035914137658478895,0.047846887968844065,0.33291400491400486
7 days,286.7321021505376,16.933165745085518,11.004954282226809,0.048492069472111515,0.037504273955223044,0.04864815615138354,0.3357837837837838
8 days,278.84456710371774,16.69863967824079,10.933682109837601,0.04951199983714396,0.03890332800784256,0.049641352336359496,0.33169830169830167
9 days,290.07985944484454,17.031730958562154,11.375234788141247,0.05119742911893695,0.040909566153844404,0.051351126759082155,0.3271847507331378
10 days,298.205851871913,17.268637811706892,11.609870961324123,0.05230108886257118,0.04304009946565546,0.052554366948652294,0.30308895405669595
11 days,311.6644197890814,17.654019932839134,11.843654604163778,0.052896354052250405,0.04408893520117313,0.053226781135886664,0.2866504618376276
12 days,317.7388025267569,17.825229382163837,11.900284061336404,0.053652058442477994,0.04408893520117313,0.05399553244424931,0.2818181818181818
13 days,321.01311398681565,17.916838839114885,11.866202037396413,0.054131931015375834,0.04530428057450791,0.05442316052971352,0.2880632411067194
14 days,319.1281347142412,17.864157822697415,11.915085032030778,0.055341441307420275,0.045969542279300585,0.05563614274268189,0.28909090909090907
15 days,316.46097527807325,17.78935005215405,11.973769094111674,0.05668696891431057,0.0468949194702377,0.05688789549474541,0.27142997542997543
16 days,319.09225330139395,17.863153509428113,12.258400178500551,0.058209684937715105,0.04818753043919459,0.058465522935131096,0.2558441558441559
17 days,317.718926810035,17.824671857008617,12.270389959131656,0.058596493201287014,0.04818753043919459,0.05882727402947407,0.24684782608695655
18 days,321.9054721997747,17.94172433741458,12.263868515960013,0.05779054172921583,0.04704002184108891,0.0580816685123997,0.2554594594594594
19 days,333.49888142102014,18.26195174183253,12.297839349921215,0.057324385426557746,0.04566792449684255,0.05760592960265992,0.25724275724275725
20 days,356.1465984716243,18.87184671598475,12.66567031781113,0.057928945948519515,0.046216074230733144,0.05822186969030603,0.2509090909090909
21 days,359.0787765989388,18.949374042404113,12.642391895349101,0.058581207255659094,0.04900971470343576,0.05891749919504429,0.23825061425061422
22 days,356.6992036323341,18.88648203431052,12.69220186083643,0.059703333846989635,0.050921276407927034,0.05996553623299222,0.2341130221130221
23 days,344.91757844447085,18.571956774784688,12.57086815173897,0.06029992749172666,0.05194365410859007,0.06051539909283233,0.23657458563535913
24 days,354.3246413900832,18.823512992799277,12.982929329975908,0.06126965352957128,0.05241252583059389,0.061493679454559746,0.23686217008797655
25 days,358.52727031703006,18.934816352873085,13.107509597405459,0.06108849135191465,0.05224498231642598,0.06144215910851567,0.2336070381231672
26 days,368.2875801723291,19.19082020582573,13.202344356654686,0.0608817148115897,0.05138065861071516,0.06134229967127355,0.22041808458920756
27 days,372.05037139858024,19.288607295462786,13.180570652814499,0.0614279649847987,0.05034570468577193,0.0619055851751196,0.21818181818181817
28 days,372.94194163312244,19.311704783191008,13.110990904413544,0.062134504848603056,0.05118574988829116,0.06254935211211443,0.21962450592885374
29 days,375.21820058827524,19.370549826689878,13.260698196556842,0.0637413686747758,0.05441270955540968,0.06413481944572291,0.22219367588932806
30 days,376.74045291342765,19.40980301068065,13.370229311938164,0.06510450369781384,0.05585959797077801,0.06536861334918738,0.2207862407862408
