horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,89.4962489760711,9.46024571436023,5.7640796613884895,0.042093473432692236,0.03153762423805351,0.041416407245593846,0.40229975429975434
4 days,84.91243220260779,9.21479420294386,5.591477285882318,0.04158144516066637,0.030713936052160044,0.04088426051388159,0.41304695304695305
5 days,86.80221356629791,9.316770554559016,5.585730494511959,0.04142941087419012,0.031203842964463484,0.040671422572755876,0.4127272727272727
6 days,88.45584869129497,9.405096952785494,5.614127392250067,0.04172361941360379,0.032226654166554486,0.04095484043252433,0.3968746928746929
7 days,93.94941262939115,9.692750519300038,5.731330409063313,0.042419867392207974,0.031900885595616525,0.04161012321543016,0.39781818181818185
8 days,97.15425601125096,9.856685853330772,5.854802517223929,0.04386635233551367,0.03347122587430881,0.04307209890610982,0.37837162837162835
9 days,101.41611712270466,10.07055694203179,6.089415490305084,0.04582912566505784,0.034041927079063464,0.045068557003816054,0.3705278592375366
10 days,93.47590725127957,9.668293916264625,6.039077623342905,0.045985376388658676,0.036853073312834404,0.0453450652884184,0.35237536656891494
11 days,87.40071426395266,9.348834914787654,5.930385994922475,0.046083486574753425,0.03796226848429943,0.04550216153647936,0.3377540106951871
12 days,90.3013986751053,9.502704808374578,5.944630855875226,0.046437177520329075,0.037952677491084275,0.04575173622666691,0.32727272727272727
13 days,104.5077751914584,10.22290444010206,6.200986382793953,0.04818733413258746,0.037952677491084275,0.04720924290378645,0.3297826086956522
14 days,113.16869934653758,10.638077803181249,6.3966311159358025,0.049084190872233625,0.03784080593187508,0.04798251629743078,0.3381818181818182
15 days,116.83155851969477,10.808864811796601,6.547547543425988,0.050504846037700696,0.03892357023631299,0.04943063427932764,0.32968058968058966
16 days,117.85652887771171,10.856174688982842,6.729893899427062,0.05193511843485893,0.04148140808572303,0.05106379219986693,0.30848151848151845
17 days,117.05169520343894,10.819043174118447,6.842515905695621,0.053043622893605806,0.04304147345438441,0.05225482864653338,0.29945652173913045
18 days,111.13131383726333,10.541883789781755,6.711671459628643,0.052240152318979126,0.04226818692740682,0.05147035165510142,0.3043931203931204
19 days,105.28498843352932,10.260847354557484,6.485577915328639,0.051103580805274385,0.04110292790323943,0.050294795027879965,0.3206993006993007
20 days,107.11744899289268,10.349755987118376,6.430685045527799,0.050269940297708725,0.03910906717230245,0.04938833057211564,0.3290909090909091
21 days,108.03395482090477,10.393938369112295,6.402501811080234,0.049843548211118846,0.03953424253289898,0.048966022998487936,0.32955282555282556
22 days,112.98501140878842,10.629440785327722,6.507864593538533,0.05057158872300318,0.03767032717465734,0.04968396668979249,0.3164029484029484
23 days,114.81957604476763,10.715389682357223,6.598123592253562,0.05187646521308022,0.04056602507045569,0.05103209197834236,0.3122551481667504
24 days,117.6743898522017,10.84778271593793,6.782844492384512,0.05361922063144379,0.042164135848816925,0.052811226380467015,0.3110850439882698
25 days,107.57469792828,10.371822305086026,6.666236491139755,0.053015419991772,0.04292274368357267,0.05230877577975664,0.3120039100684262
26 days,100.08700788207047,10.004349448218534,6.499902564453258,0.05249192899916815,0.04377915692015785,0.051850942767232934,0.3083714146815751
27 days,102.80112646911468,10.139089035466386,6.47210503562575,0.05202025351051251,0.04342913875815267,0.05126222074204779,0.3145454545454546
28 days,117.5819656009926,10.843521826463606,6.705032036506746,0.05342368828968719,0.04230860240477137,0.05237828360215985,0.3067094861660079
29 days,126.76141642435576,11.258837258987082,6.926468878896384,0.05469140906089413,0.04246728946696711,0.05351461139827127,0.28783596837944664
30 days,129.93244793981592,11.398791512253213,7.083401018764571,0.05647977854772398,0.04330494227850792,0.05534116825330485,0.25756265356265357
