horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,56.33795997943124,7.505861707987381,4.822817499544039,0.08230395432059232,0.04223304478174063,0.08620351983726034,0.40022604422604424
4 days,57.29647489409856,7.569443499630508,4.89060940153694,0.08468618166009559,0.04141158872535082,0.0879919016961019,0.39124875124875125
5 days,58.26823631200623,7.633363368267374,4.972838073852658,0.08755480685888019,0.04168229435423211,0.09056971750951813,0.3927272727272727
6 days,55.80952339787869,7.470577179701626,4.908734618870682,0.08685167727517694,0.041900451697040486,0.09009918820085593,0.3946732186732187
7 days,56.52522645859288,7.51832604098764,5.006267150467261,0.08841331741028394,0.04512687085307302,0.0916189992173374,0.3614938574938575
8 days,58.41713897728744,7.643110556395704,5.115332156253415,0.08960932772602025,0.048659511286543944,0.09325236811097698,0.3330669330669331
9 days,64.09464489331486,8.005913120520036,5.393353899901827,0.0930390245213234,0.05161125203712891,0.09750069104060469,0.31284457478005867
10 days,68.2464961097529,8.26114375312238,5.550989411711466,0.09453983129528118,0.051875453037498825,0.09971798847718556,0.31749755620723363
11 days,72.2130724265681,8.497827512168513,5.704263751839402,0.09757934582145336,0.05267728115746455,0.10258531701198384,0.32114730189596497
12 days,73.07394295173012,8.548329834051218,5.72942636606575,0.0997525619378533,0.05296376586680939,0.10390340272367447,0.3327272727272727
13 days,72.01922870706089,8.486414361027919,5.739469265012143,0.10164717065258908,0.0541633902243016,0.10498599796170324,0.3224110671936759
14 days,71.34809936080443,8.446780413909458,5.770740605142655,0.10247834057899406,0.055850780510990766,0.10574555214155575,0.2963636363636364
15 days,73.01951368338715,8.545145620958554,5.833790060401811,0.10236139690834609,0.05617266262749988,0.10617926852518593,0.276972972972973
16 days,74.51574469537734,8.632250268347027,5.863108266730692,0.10093497187687125,0.055224029375382,0.10600050956945031,0.25953046953046954
17 days,74.70630722000458,8.643281044835033,5.838408600076976,0.09874852051013819,0.05440961683784084,0.10433776123704261,0.26858695652173914
18 days,75.29698910942793,8.677383771012316,5.88306424622185,0.09981499838000397,0.05630185046797058,0.10494746435504587,0.2772972972972973
19 days,75.59937438166648,8.694790071167128,5.895420724830339,0.10156626949955587,0.056606464589939856,0.10587275003524653,0.29168831168831166
20 days,75.95301365807404,8.715102618906679,5.954232545857455,0.10430459534601931,0.056675461331059315,0.10816111185895665,0.3
21 days,72.19757600559075,8.496915676031554,5.846069981631266,0.10297430013241217,0.05482470364395084,0.10709417286272932,0.29674692874692876
22 days,72.74542794272337,8.529093031660715,5.942472389259898,0.10432144074371931,0.05915348388373922,0.1084456146905732,0.2779262899262899
23 days,74.20725843179461,8.61436349545308,6.014317082187693,0.10457164973924354,0.06252186567432803,0.10923741758541049,0.25241587142139627
24 days,80.12386543711709,8.951193520258462,6.279854961397339,0.10751504749796535,0.06527287678111116,0.1130255770162604,0.23692082111436952
25 days,83.97904917447609,9.164008357398856,6.4000391603769975,0.10833339905238694,0.0665313367266476,0.1145255633369448,0.2517497556207234
26 days,87.54431882060904,9.356512107650428,6.50957686622977,0.11085603433530976,0.06746068983093326,0.11674308697043885,0.2639572192513369
27 days,87.45757260673847,9.351875352395286,6.475012787977926,0.11228873759232029,0.06551657981416,0.11710947635517727,0.2690909090909091
28 days,85.69845323396035,9.257345906573889,6.465113248956599,0.11405329607820831,0.06759202874182016,0.11796845593525584,0.25405138339920946
29 days,84.75352917186402,9.206167996070027,6.477228134494238,0.11443353837991173,0.06778102486851069,0.11831013048864243,0.24049407114624505
30 days,86.38951841481652,9.294596194284964,6.537114095192905,0.11398377891889237,0.06771468611551618,0.11852256280793468,0.2263980343980344
